date,open,high,low,close,volume
2021-01-04,130.5658,130.6048,123.6683,126.2146,120659535
2021-01-05,125.2683,128.5268,125.1804,127.7365,82909934
2021-01-06,125.0234,127.8535,123.2292,123.9804,134497297
2021-01-07,125.1122,128.4195,124.7414,127.4439,96214990
2021-01-08,128.8195,129.4048,127.0536,128.9268,90505338
2021-01-11,127.0341,127.0341,125.3658,125.805,85933047
2021-01-12,125.717,126.5268,123.7658,125.8048,78288673
2021-01-13,126.0097,128.2439,125.3561,127.639,78273372
2021-01-14,127.7853,127.8731,125.6195,125.834,76664435
2021-01-15,125.8636,127.048,123.8048,123.8244,90149900
2021-01-19,124.8292,125.5707,123.8419,124.9951,73085374
2021-01-20,125.551,129.2585,125.4146,129.0243,90925021
2021-01-21,130.3707,136.2634,130.2926,133.9511,103034003
2021-01-22,132.6439,136.439,131.7268,135.9902,97140797
2021-01-25,139.1902,141.5512,133.2097,140.0487,130706630
2021-01-26,139.6975,141.4634,137.9219,140.7512,81873415
2021-01-27,139.8536,141.4634,133.6585,138.2536,114241550
2021-01-28,136.8,138.6536,132.6926,133.7268,119908336
2021-01-29,132.7414,133.4048,127.0341,128.7414,149225482
2021-02-01,130.6731,132.078,127.7365,130.7317,91296656
2021-02-02,132.7122,132.9853,130.8683,131.7561,68531755
2021-02-03,132.0195,132.4878,130.3512,130.8292,68464290
2021-02-04,132.8487,134.1463,131.3073,133.8634,69935527
2021-02-05,134.5916,134.6991,132.7352,133.4192,62343303
2021-02-08,133.0283,133.8198,131.8265,133.5853,59567003
2021-02-09,133.2921,134.7157,132.7352,133.1456,57111283
2021-02-10,133.2726,133.8491,131.3185,132.1881,57763311
2021-02-11,132.4909,133.2628,130.7029,131.8558,52935139
2021-02-12,131.2891,132.4225,130.6268,132.2369,50641163
2021-02-16,132.4909,132.8915,129.7454,129.9212,66739304
2021-02-17,128.6217,130.2009,126.5015,127.8303,80661057
2021-02-18,125.7491,127.0145,124.4887,126.3842,80856923
2021-02-19,127.674,127.7131,125.8469,126.6774,72800864
2021-02-22,124.9382,126.7458,122.7202,123.2088,87783122
2021-02-23,120.7465,123.8048,115.6755,122.3783,130961216
2021-02-24,121.9483,122.8961,119.4275,122.2317,93419498
2021-02-25,121.9874,123.559,117.7762,117.9032,124225446
2021-02-26,119.7108,121.9874,118.0791,119.0953,136383026
2021-03-01,120.8246,125.7394,119.9747,125.4169,98600138
2021-03-02,125.0359,125.7687,122.1438,122.2512,85241414
2021-03-03,121.7627,122.8277,119.0464,119.32,94534222
2021-03-04,119.3102,120.7661,115.9003,116.9555,140735403
2021-03-05,117.4734,119.1393,114.8743,118.5188,127384191
2021-03-08,118.128,118.6361,113.4478,113.829,129268060
2021-03-09,116.1738,119.2614,115.91,118.2745,108978063
2021-03-10,118.8901,119.3689,116.7112,117.317,93472328
2021-03-11,119.5741,120.385,118.4797,119.0953,86921494
2021-03-12,117.3952,118.3918,116.4279,118.2355,75575841
2021-03-15,118.5384,121.3523,117.659,121.3523,80272336
2021-03-16,122.6421,124.3031,121.8555,122.6225,99752127
2021-03-17,121.3035,122.9742,119.5311,121.6454,96513368
2021-03-18,120.1017,120.3557,117.5613,117.8642,102310094
2021-03-19,118.3625,118.6458,116.9311,117.2584,157096625
2021-03-22,118.0498,121.0299,117.2389,120.2971,92756488
2021-03-23,120.5902,121.3914,119.3396,119.8476,81375379
2021-03-24,120.004,120.1896,117.2389,117.3659,75557785
2021-03-25,116.2911,118.8706,115.871,117.7469,84412594
2021-03-26,117.5613,118.7142,116.1934,118.4602,82381123
2021-03-29,118.3723,119.7695,117.9618,118.5384,68174534
2021-03-30,117.5124,117.786,116.1348,117.1216,73919600
2021-03-31,118.939,120.6879,118.3723,119.2028,101022157
2021-04-01,120.6781,121.3328,119.3493,120.1017,64580511
2021-04-05,121.0494,123.326,120.2482,123.3065,77160761
2021-04-06,123.4433,124.2151,122.7691,123.3846,70377650
2021-04-07,123.0133,125.1824,122.2708,125.1629,72588215
2021-04-08,125.7785,127.6544,125.5733,127.6544,77475047
2021-04-09,126.4526,129.9896,126.3354,129.8724,92674880
2021-04-12,129.3155,129.3643,127.6349,128.3091,61069665
2021-04-13,128.8172,131.5725,128.3677,131.3771,79381694
2021-04-14,131.6507,131.9047,128.6364,129.0907,74601270
2021-04-15,130.6247,131.9047,130.3805,131.2012,77548509
2021-04-16,131.6897,131.8852,130.2241,130.9667,72953472
2021-04-19,130.6931,132.3639,130.2828,131.7093,79427347
2021-04-20,131.5725,132.4225,128.7878,129.5695,82278770
2021-04-21,129.6574,130.6834,128.2896,130.2046,61002003
2021-04-22,130.2437,131.0742,128.397,128.9344,74877117
2021-04-23,129.1103,132.022,129.0614,131.1328,69317617
2021-04-26,131.5334,131.9633,130.4977,131.6409,57523868
2021-04-27,132.4812,132.4909,131.0351,131.3869,57431842
2021-04-28,131.2891,136.3015,130.0287,134.7089,88569288
2021-04-29,134.152,134.3181,129.4132,130.0483,127172023
2021-04-30,128.9637,130.4977,128.0599,128.485,84956656
2021-05-03,129.1298,130.996,128.8074,129.3839,65424588
2021-05-04,128.1615,128.4751,123.795,124.7525,117375232
2021-05-05,125.9836,127.459,125.0066,125.0261,72884112
2021-05-06,124.9773,126.8044,124.2151,126.6774,68464688
2021-05-07,128.4574,128.7999,126.7201,127.5471,63539276
2021-05-10,127.0969,127.2731,123.6362,123.7595,75483167
2021-05-11,120.3829,124.151,120.1578,122.9765,99267910
2021-05-12,121.391,121.988,119.6489,119.7956,97846067
2021-05-13,120.9701,123.4659,120.9408,122.1642,92859925
2021-05-14,123.8084,125.1688,123.1723,124.8361,73071933
2021-05-17,124.1901,124.5425,122.5067,123.4561,65243756
2021-05-18,124.1412,124.288,121.8999,122.0174,53583552
2021-05-19,120.4416,122.2571,120.2459,122.0174,78958214
2021-05-20,122.8786,125.0025,122.4382,124.7088,64066848
2021-05-21,125.1493,125.5114,122.5459,122.6829,69687409
2021-05-24,123.5246,125.2178,123.231,124.3761,55742419
2021-05-25,124.9242,125.5897,123.6323,124.2195,55188517
2021-05-26,124.5816,124.6795,123.7301,124.1216,49215063
2021-05-27,123.8084,124.9242,122.4186,123.1331,80774592
2021-05-28,122.908,123.1233,121.8706,121.9195,62967903
2021-06-01,122.4578,122.6829,121.3029,121.5476,54683778
2021-06-02,121.802,122.5752,121.4106,122.3012,51014504
