date,open,high,low,close,volume
2021-01-04,163.9,163.9,157.201,159.1151,37095980
2021-01-05,158.0,161.169,158.0,160.755,23021400
2021-01-06,157.8005,159.8755,156.558,157.1575,38631140
2021-01-07,158.0975,160.4271,157.75,158.442,33245360
2021-01-08,159.0625,159.532,157.11,159.0995,31307760
2021-01-11,157.701,157.8192,155.5,155.7285,32551900
2021-01-12,155.725,157.1071,154.3,155.91,30041480
2021-01-13,156.645,159.4975,156.104,158.1275,31241520
2021-01-14,158.5,158.9,156.0295,156.525,27999920
2021-01-15,157.0,157.1273,154.7585,154.985,38565740
2021-01-19,155.8655,157.25,154.8,156.85,30167880
2021-01-20,158.2135,163.99,158.1995,162.969,48767580
2021-01-21,164.5,167.4275,164.45,165.4,47231340
2021-01-22,164.5,166.0955,164.1582,164.6415,26299440
2021-01-25,166.6,168.1945,162.1573,164.401,37006140
2021-01-26,164.994,169.8985,164.1435,168.1,27702320
2021-01-27,166.8495,167.326,159.801,161.4825,41271220
2021-01-28,161.49,165.084,161.4345,162.2,27262020
2021-01-29,161.775,161.8495,159.3,159.95,39119920
2021-02-01,162.297,167.513,161.7513,167.0505,37812900
2021-02-02,169.2465,173.9125,162.55,171.15,60762520
2021-02-03,171.75,172.6,165.431,165.975,67166680
2021-02-04,166.6745,167.35,163.8875,166.65,34631280
2021-02-05,166.7995,168.85,165.1355,167.5,34226100
2021-02-08,168.1,168.25,165.2,166.093,29789760
2021-02-09,165.5025,166.9,164.892,165.25,18992760
2021-02-10,165.78,165.8977,162.7,164.1,27986100
2021-02-11,164.6,164.649,162.403,162.901,21119960
2021-02-12,162.5255,164.1,161.6655,163.914,20663940
2021-02-16,163.5,165.415,162.6415,163.2505,23023260
2021-02-17,163.0,166.0455,162.7,165.4285,29519340
2021-02-18,164.3755,166.9,163.697,166.1995,26966040
2021-02-19,166.805,167.0,162.2875,162.5,38415540
2021-02-22,160.85,161.616,158.613,159.135,30860320
2021-02-23,156.475,160.2365,154.68,159.358,31007400
2021-02-24,157.905,158.65,156.269,157.51,25626980
2021-02-25,156.8145,158.913,152.3,152.3,36847080
2021-02-26,154.646,156.122,151.835,154.4545,38714700
2021-03-01,156.4,157.478,154.8995,157.35,22176960
2021-03-02,156.9005,158.176,154.356,154.6995,21915760
2021-03-03,154.105,155.3888,149.75,150.7,29148220
2021-03-04,150.6,152.9065,147.2715,148.475,43683460
2021-03-05,150.0,150.8,144.05,149.951,43505940
2021-03-08,150.6995,153.2295,147.495,148.0575,36703660
2021-03-09,150.8,154.548,150.2574,153.142,34590140
2021-03-10,154.3605,155.823,151.5025,153.0495,27020780
2021-03-11,155.1,156.5892,154.1465,155.6795,22368980
2021-03-12,153.6905,154.949,152.275,154.5015,18397400
2021-03-15,153.9435,154.175,151.6045,154.106,24252500
2021-03-16,154.7575,156.4455,153.793,154.55,21794400
2021-03-17,153.4425,158.6525,153.3965,156.9395,26152700
2021-03-18,154.972,155.8315,151.25,151.84,28955440
2021-03-19,152.249,153.8642,150.8315,153.625,44459600
2021-03-22,154.2375,156.329,153.0,155.4395,23569780
2021-03-23,155.9,159.1,155.825,157.0,32176540
2021-03-24,157.8,158.0155,154.25,154.3535,22066480
2021-03-25,153.9395,155.489,151.857,152.6,27245760
2021-03-26,152.4,152.833,149.8,152.6015,30643180
2021-03-29,152.4125,154.5625,151.4222,153.7505,23355040
2021-03-30,153.2815,153.65,151.7,152.7985,18828700
2021-03-31,153.5,155.9665,153.125,154.575,25308720
2021-04-01,154.704,158.122,154.704,157.925,22829040
2021-04-05,158.8,161.7978,158.062,161.525,30221480
2021-04-06,161.2395,162.3655,160.852,161.328,21563580
2021-04-07,161.625,165.1806,161.1825,164.222,27937340
2021-04-08,165.305,166.225,164.6,165.35,23060800
2021-04-09,164.588,168.61,164.253,168.45,36442380
2021-04-12,169.354,170.25,167.5575,169.8,23543960
2021-04-13,170.358,171.6,169.7815,169.95,28772000
2021-04-14,170.305,170.4,166.3,166.75,23277020
2021-04-15,168.3675,169.85,167.6,168.75,31887760
2021-04-16,169.35,170.34,167.7795,169.762,31703000
2021-04-19,169.5,171.7967,168.008,168.56,22607860
2021-04-20,168.45,169.1495,165.25,165.7865,23572220
2021-04-21,166.0525,168.143,165.1903,167.94,19359740
2021-04-22,168.5,168.65,165.0725,166.4179,22736920
2021-04-23,165.8225,168.75,165.425,167.0,28029020
2021-04-26,167.35,171.4225,166.547,170.983,50579360
2021-04-27,171.926,173.0,169.9005,171.247,34809400
2021-04-28,171.5,174.494,171.25,174.2005,46136400
2021-04-29,175.132,183.383,171.75,179.75,68284760
2021-04-30,177.055,180.1612,173.125,173.371,61217500
2021-05-03,173.8,174.3323,168.6351,169.3,54812860
2021-05-04,167.595,168.3988,163.6065,165.325,49607580
2021-05-05,166.53,167.7347,163.218,163.527,30780040
2021-05-06,163.3105,165.72,162.36,165.3185,40869900
2021-05-07,167.2,167.5,164.45,164.539,46923800
2021-05-10,164.025,164.15,159.1605,159.2,60049020
2021-05-11,156.1025,161.9,155.9,160.8,43679880
2021-05-12,159.55,160.397,156.655,157.475,49882000
2021-05-13,159.1,160.192,156.65,157.8064,28035700
2021-05-14,159.5,161.443,159.15,161.2015,26962300
2021-05-17,161.625,164.6375,161.625,163.65,35108600
2021-05-18,164.525,165.6,161.33,161.33,23404600
2021-05-19,159.2,161.7375,159.19,161.5,23077460
2021-05-20,162.4695,162.984,161.809,162.375,22434340
2021-05-21,162.75,163.125,159.8505,159.9705,33817640
2021-05-24,161.0,162.8975,160.525,162.45,22801460
2021-05-25,163.553,163.991,160.688,162.9525,31074860
2021-05-26,163.75,164.7865,162.9255,163.595,21945760
2021-05-27,162.7995,163.258,161.502,162.1,23740060
2021-05-28,162.15,162.3995,160.985,161.206,21186160
2021-06-01,161.851,162.549,160.453,160.902,21709700
2021-06-02,160.9325,161.76,160.4,161.5,17311040
2021-06-03,160.5,160.7218,159.2015,159.2875,19217020
2021-06-04,160.15,161.05,159.9405,160.2525,18889400
2021-06-07,160.2,160.4,158.61,160.05,19867140
2021-06-08,160.9,163.9766,160.9,163.2055,28132980
2021-06-09,163.8,164.879,163.535,163.95,21998520
2021-06-10,164.2,167.7,164.0575,167.585,28799160
2021-06-11,167.525,168.329,166.6725,167.25,23562040
2021-06-14,167.45,169.25,166.775,169.116,23488920
2021-06-15,168.925,169.8493,168.1555,169.05,23876360
2021-06-16,169.6,171.3175,168.0265,170.445,38124040
2021-06-17,169.95,174.86,169.95,174.5,48571400
2021-06-18,173.4,175.35,173.4,174.1115,52609800
2021-06-21,174.205,174.345,171.7,172.672,26500300
2021-06-22,172.698,176.189,172.698,175.3705,30251560
2021-06-23,175.6,176.05,174.16,175.22,24829520
2021-06-24,175.7225,176.243,171.5425,172.325,34661540
2021-06-25,173.105,173.241,169.709,170.01,37045900
2021-06-28,170.96,172.4,170.6,172.1945,20047540
2021-06-29,172.1,172.8015,171.1515,172.4245,16472320
2021-06-30,172.2,173.5801,171.75,171.9,22297540
2021-07-01,172.0,172.85,170.471,171.6485,16283720
2021-07-02,172.35,175.586,171.846,175.515,29040940
2021-07-06,176.265,184.274,176.1875,183.55,56015080
2021-07-07,185.55,186.71,183.9455,184.891,48357940
2021-07-08,181.734,187.9993,181.056,186.35,45219420
2021-07-09,186.212,187.4,184.6698,185.837,34672280
2021-07-12,186.925,187.8645,184.8396,185.7,22843760
2021-07-13,185.0,188.6539,183.566,183.972,35370400
2021-07-14,185.497,185.883,183.0413,184.161,30152780
2021-07-15,184.5,184.9,181.046,181.325,27932340
2021-07-16,182.3425,182.5,178.4875,178.495,36863400
2021-07-19,176.95,177.922,174.958,177.9,29416100
2021-07-20,178.1,179.6,175.9,178.6425,27982680
2021-07-21,178.5375,179.4985,177.1821,179.25,20834360
2021-07-22,179.525,182.45,179.1135,182.4495,22407740
2021-07-23,182.2605,183.3055,181.102,182.7475,22023760
2021-07-26,183.376,185.604,182.3625,184.607,28927380
2021-07-27,184.9,184.967,179.3075,180.7,40330980
2021-07-28,182.0,182.921,180.05,180.975,28674320
2021-07-29,181.8,181.8975,166.9495,167.648,41282400
2021-07-30,167.6,168.407,165.349,166.4005,90270180
2021-08-02,167.496,167.946,165.85,166.4375,27644220
2021-08-03,166.9225,169.55,164.9885,168.353,33844360
2021-08-04,168.425,169.444,167.278,167.6475,18611420
2021-08-05,167.75,169.45,167.046,168.7995,18621380
2021-08-06,168.275,168.75,166.4519,167.0,24058900
2021-08-09,167.4,167.744,166.426,167.0455,19947520
2021-08-10,167.2,167.9,165.75,165.975,17979440
2021-08-11,166.4965,166.885,163.8895,164.5385,25384880
2021-08-12,164.55,165.7255,163.4835,165.1,20966880
2021-08-13,165.21,165.4,164.15,164.45,18513560
2021-08-16,164.3945,165.0,160.5565,164.849,31459220
2021-08-17,163.8129,164.0245,161.284,161.9,31132300
2021-08-18,162.161,162.7049,159.952,160.1075,23712760
2021-08-19,159.35,161.65,159.1232,159.5,34898500
2021-08-20,160.1,160.3905,158.788,159.925,31301480
2021-08-23,160.6945,164.045,160.5003,163.48,34595060
2021-08-24,163.9975,165.7747,163.729,165.2505,24032740
2021-08-25,165.6281,166.05,164.3075,164.95,14367240
2021-08-26,164.75,166.6,164.75,165.8125,20294020
2021-08-27,166.325,167.616,165.6875,167.499,21411700
2021-08-30,168.061,172.25,167.761,170.9,28835040
2021-08-31,170.63,173.694,169.7795,173.605,50519460
2021-09-01,174.601,176.35,173.762,173.801,30088000
2021-09-02,174.805,175.598,172.7,172.817,27386220
2021-09-03,173.5,174.43,171.822,174.0645,23289480
2021-09-07,173.75,176.4045,173.65,175.35,24798560
2021-09-08,175.615,177.2815,174.7835,176.0,28360280
2021-09-09,176.45,177.4995,174.0,174.208,23447660
2021-09-10,175.1,175.4225,173.1453,173.3525,20160040
2021-09-13,174.2963,174.898,171.9,173.2,20891260
2021-09-14,173.5745,174.3403,171.8855,172.506,16099160
2021-09-15,172.4025,174.271,170.1005,173.75,27239900
2021-09-16,172.95,174.6275,172.3072,174.35,23422000
2021-09-17,174.6,175.1,172.6065,172.8845,51329220
2021-09-20,169.5525,170.95,165.2505,167.784,43949920
2021-09-21,168.5985,168.985,166.6195,166.847,25367020
2021-09-22,167.8,169.45,167.0525,169.1,22797660
2021-09-23,169.3,171.448,169.0,170.8,21807580
2021-09-24,169.675,171.463,169.67,171.25,19130140
