date,open,high,low,close,volume
2021-01-04,211.48,211.66,202.4911,202.8,17230199
2021-01-05,202.9,213.35,202.72,211.3,16360557
2021-01-06,210.76,215.61,209.34,211.24,13379725
2021-01-07,212.95,216.6,206.51,210.3,11739961
2021-01-08,212.4998,214.45,208.155,209.99,11318657
2021-01-11,202.65,207.7799,201.01,205.84,13237332
2021-01-12,207.2,209.06,204.81,208.19,10418255
2021-01-13,207.45,208.79,204.85,207.1,6884635
2021-01-14,208.55,214.19,208.13,209.74,9773075
2021-01-15,209.0,209.39,204.0,204.4,8897642
2021-01-19,207.42,211.52,206.52,210.75,9222267
2021-01-20,212.7,215.59,211.2,211.3999,7844299
2021-01-21,211.63,212.2,206.34,207.45,8836218
2021-01-22,205.69,206.6999,204.27,206.3,5754594
2021-01-25,203.42,204.55,199.3,203.26,11130020
2021-01-26,205.45,208.35,201.76,202.4,8591650
2021-01-27,194.5,199.47,191.8504,193.2,15029500
2021-01-28,197.06,200.42,196.0,196.64,7825478
2021-01-29,199.27,201.57,193.1201,194.5,10143340
2021-02-01,196.5,197.38,192.86,195.72,7090105
2021-02-02,199.0,203.03,198.09,201.0,8374295
2021-02-03,201.8,208.16,201.2606,207.48,9507464
2021-02-04,208.01,212.48,208.01,210.1,9605979
2021-02-05,211.85,213.1988,206.66,208.0,7740125
2021-02-08,209.63,212.0,208.3,211.8,9108920
2021-02-09,210.77,216.73,208.9027,215.0,11157205
2021-02-10,216.36,217.49,211.12,212.0,8688275
2021-02-11,212.23,213.99,208.5709,210.4,5710527
2021-02-12,210.47,213.16,209.67,211.1,4825938
2021-02-16,212.52,217.4,212.3301,216.96,8200079
2021-02-17,215.3,218.71,212.68,215.25,7459486
2021-02-18,213.8001,214.34,208.08,208.73,7154318
2021-02-19,210.03,217.64,209.15,217.33,9878995
2021-02-22,211.16,220.39,210.25,213.6,17110230
2021-02-23,213.6,214.88,206.6,211.9,12579561
2021-02-24,212.5,230.0,211.6,229.1,25849374
2021-02-25,228.25,228.5,214.71,215.81,14829690
2021-02-26,216.9899,220.66,211.29,212.32,10098648
2021-03-01,218.26,226.98,218.0,224.4,15372788
2021-03-02,224.18,227.19,222.15,224.5,8717883
2021-03-03,225.52,235.4,225.0,228.5,24854303
2021-03-04,232.3,237.1027,218.7,224.9,21138321
2021-03-05,228.65,231.2,213.8,222.5,15362969
2021-03-08,226.0,229.89,223.71,224.7,10837460
2021-03-09,225.98,234.06,222.5801,231.25,16840051
2021-03-10,234.7099,250.21,232.88,246.95,22147690
2021-03-11,249.5,256.65,246.55,251.73,24576534
2021-03-12,253.6,270.68,252.58,269.4,28549178
2021-03-15,274.0,278.5671,264.33,265.03,28654187
2021-03-16,264.25,264.42,254.02,255.18,23895805
2021-03-17,252.89,264.5,252.85,263.7,18705489
2021-03-18,262.89,267.3693,254.73,256.84,19827739
2021-03-19,258.28,258.88,251.31,255.89,13606883
2021-03-22,256.45,257.6699,250.16,251.0,12063898
2021-03-23,249.55,251.3,239.43,241.19,17008047
2021-03-24,243.24,248.8,239.06,239.5,19420115
2021-03-25,235.55,247.65,231.7,247.45,22383432
2021-03-26,249.63,250.9,240.3,245.08,13580961
2021-03-29,249.63,254.71,248.03,250.55,17936977
2021-03-30,251.35,253.5,248.91,252.2,9749442
2021-03-31,255.03,257.88,253.36,254.3,11312777
2021-04-01,255.88,257.88,251.31,252.71,8500572
2021-04-05,256.0,260.48,255.9,259.32,10984856
2021-04-06,258.8,259.35,254.6643,254.98,8608217
2021-04-07,254.85,255.9,250.83,252.6,7766365
2021-04-08,252.86,255.4,249.31,255.2,8022994
2021-04-09,251.0,252.8399,249.438,251.51,9619787
2021-04-12,249.29,249.72,246.75,249.2,5268922
2021-04-13,248.4,254.4873,246.1,253.39,12905652
2021-04-14,254.25,258.37,251.28,252.6,10314660
2021-04-15,254.24,255.4,249.43,250.88,7490732
2021-04-16,251.55,253.05,246.2312,247.85,11665210
2021-04-19,246.8268,247.2,242.22,243.88,7091137
2021-04-20,242.27,242.54,232.34,233.65,15737737
2021-04-21,233.0,236.76,230.22,235.75,10078907
2021-04-22,236.65,239.6499,233.38,234.61,11046320
2021-04-23,234.4,238.58,233.11,238.2,9223171
2021-04-26,240.25,244.6499,240.1,241.1,8514146
2021-04-27,241.7,243.49,239.41,242.45,8087112
2021-04-28,239.0156,239.78,232.85,235.33,14861357
2021-04-29,237.05,237.68,231.8,235.86,8977190
2021-04-30,233.82,236.77,232.7,234.05,7786021
2021-05-03,235.12,237.1,233.81,235.0,7800422
2021-05-04,235.5,236.7,225.65,233.7,14059018
2021-05-05,233.2537,234.0,227.56,228.25,9646374
2021-05-06,228.4,231.165,226.545,229.75,8778035
2021-05-07,228.92,235.905,227.99,235.52,10345804
2021-05-10,236.51,241.1049,232.5,232.65,11997171
2021-05-11,226.8,230.1299,223.85,228.75,12344102
2021-05-12,226.09,229.74,219.95,220.0,11319273
2021-05-13,222.03,229.27,219.07,222.66,13073231
2021-05-14,225.5,229.07,224.35,228.4,7565798
2021-05-17,227.48,228.26,223.58,227.98,7492077
2021-05-18,228.5,232.2652,226.43,227.02,7882045
2021-05-19,223.25,225.12,220.28,224.09,10237204
2021-05-20,225.09,228.4389,223.77,227.6,7236052
2021-05-21,232.5,236.3,231.39,234.69,12890991
2021-05-24,236.54,238.5,232.6,238.09,7760399
2021-05-25,240.16,243.78,239.23,240.74,10002569
2021-05-26,241.95,242.49,239.87,241.37,5505846
2021-05-27,247.6,252.6,247.19,251.25,14144278
2021-05-28,247.84,248.98,245.37,247.0,8740797
2021-06-01,251.89,255.64,251.52,254.84,10758186
2021-06-02,256.3,258.3957,254.62,255.45,8545268
