date,open,high,low,close,volume
2021-01-04,358.2314,362.1706,355.7729,360.8417,2220415
2021-01-05,359.7501,360.8939,356.1906,356.6557,1883576
2021-01-06,354.0928,356.7127,350.7611,351.2073,1693361
2021-01-07,353.343,353.5708,348.1603,349.8499,1930093
2021-01-08,349.3183,351.454,345.7873,351.167,1585020
2021-01-11,349.1025,352.1565,345.3791,345.512,1853014
2021-01-12,345.3032,346.5277,341.9525,346.2334,1575468
2021-01-13,344.5934,350.0113,344.4679,349.3231,1365638
2021-01-14,347.7426,347.9515,343.1915,344.316,1638251
2021-01-15,343.2624,346.371,342.4745,343.4997,1643769
2021-01-19,345.512,345.512,334.5391,336.3332,3199505
2021-01-20,336.9881,343.5158,335.4599,342.8977,1837277
2021-01-21,341.9999,345.5025,341.6583,344.373,1439354
2021-01-22,343.4712,346.11,341.5728,343.4712,1327477
2021-01-25,343.139,343.5756,338.6967,343.139,1636499
2021-01-26,343.0251,347.3155,340.6521,345.512,1153627
2021-01-27,342.7962,347.2206,336.8267,337.9183,1783115
2021-01-28,339.7499,343.2386,337.9848,338.279,1474332
2021-01-29,337.6146,338.1936,333.3147,334.1215,1668038
2021-02-01,334.8809,334.8809,331.4732,332.7167,1558019
2021-02-02,332.7167,339.532,332.7167,336.9691,1235321
2021-02-03,336.9691,339.3706,335.27,338.2221,1116206
2021-02-04,339.2964,340.8466,336.5382,338.1075,1911520
2021-02-05,338.8684,339.3867,336.776,337.7937,1291155
2021-02-08,338.6021,342.4254,337.8317,342.1971,1463405
2021-02-09,342.7583,343.9794,340.7705,341.9689,1211419
2021-02-10,343.0341,343.3384,337.7461,338.6972,1423114
2021-02-11,338.3263,339.0586,334.1986,334.9689,1444069
2021-02-12,334.9785,335.7108,332.9717,334.7788,1398617
2021-02-16,336.2244,337.9744,334.8132,336.2054,1153539
2021-02-17,335.0451,340.6469,334.6932,340.4851,1218223
2021-02-18,337.185,340.6754,335.0451,339.458,1280757
2021-02-19,339.1347,340.4186,337.2278,337.4132,1264875
2021-02-22,335.7298,336.0056,331.7543,333.3521,1459447
2021-02-23,331.45,333.8277,325.2965,325.3631,2498213
2021-02-24,325.0683,325.7435,321.3591,324.0411,2317010
2021-02-25,324.3169,326.2191,317.0318,317.0318,2451212
