date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2021-01-04,358.2314,362.1706,355.7729,360.8417,2220415,,,,,,,360.8417,360.8417,0.0,4.0,0.3718935,0.116044863603,0.1212121212121212,0.0450779999999999
2021-01-05,359.7501,360.8939,356.1906,356.6557,1883576,-0.0116684673551221,,,,,,359.4463666666667,360.4611545454545,-1.0147878787878426,2.0,0.148,0.0,0.0454545454545454,0.0067272727272727
2021-01-06,354.0928,356.7127,350.7611,351.2073,1693361,-0.0153942432296403,,,,,,356.7000111111111,359.61989504132225,-2.9198839302111423,1.0,0.1702,0.0,0.0238095238095238,0.0040523809523809
2021-01-07,353.343,353.5708,348.1603,349.8499,1930093,-0.0038724420668536,,,,,,354.4166407407408,358.73171367392933,-4.31507293318856,1.0,0.091067,0.0,0.027027027027027,0.0024612702702702
2021-01-08,349.3183,351.454,345.7873,351.167,1585020,0.0037576884375018,,,,,,353.33342716049384,358.0440124308448,-4.710585270350975,1.0,0.8401,0.0,0.0175438596491228,0.014738596491228
2021-01-11,349.1025,352.1565,345.3791,345.512,1853014,-0.0162345189159369,-0.8878551511261905,,,0.00849840328474257,,350.7262847736626,356.90473857349525,-6.178453799832653,,0.0,0.0,0.0,0.0
2021-01-12,345.3032,346.5277,341.9525,346.2334,1575468,0.0020857392373727,-0.7756957606982078,,,0.009461658487491798,,349.22865651577507,355.93461688499565,-6.705960369220577,2.0,-0.0244,0.00119072,0.0344827586206896,-0.0008413793103448
2021-01-13,344.5934,350.0113,344.4679,349.3231,1365638,0.0088841677766581,-0.2374750294506908,,,0.009619860510068924,0.1585776151911883,349.2601376771834,355.3335698954506,-6.073432218267158,1.0,0.2123,0.0,0.0333333333333333,0.0070766666666666
2021-01-14,347.7426,347.9515,343.1915,344.316,1638251,-0.0144374415251595,-0.5522839191056598,,,0.011385887480601679,0.1644959517808583,347.61209178478896,354.3319726322278,-6.719880847438844,,0.0,0.0,0.0,0.0
2021-01-15,343.2624,346.371,342.4745,343.4997,1643769,-0.0023736020659368,-0.6713010645048447,,,0.010763888019121077,0.1477386002172122,346.24129452319266,353.3472205747525,-7.105926051559891,,0.0,0.0,0.0,0.0
2021-01-19,345.512,345.512,334.5391,336.3332,3199505,-0.0210839030462677,-0.7425737472579239,-0.8300911179193058,,0.012215685262509317,0.1830481140451441,342.9385963487951,351.80049143159323,-8.861895082798128,1.0,0.11265,0.0,0.015625,0.00176015625
2021-01-20,336.9881,343.5158,335.4599,342.8977,1837277,0.0193298166981731,-0.3860983194114271,-0.6289194838441248,,0.016525969844569933,0.2334832403264795,342.9249642325301,350.99114675599384,-8.066182523463738,,0.0,0.0,0.0,0.0
2021-01-21,341.9999,345.5025,341.6583,344.373,1439354,0.0042932203163273,-0.5129089658808104,-0.3905583896331271,,0.01588978245317644,0.218084326547943,343.40764282168675,350.38949705090346,-6.981854229216708,,0.0,0.0,0.0,0.0
2021-01-22,343.4712,346.11,341.5728,343.4712,1327477,-0.0026221069151694,-0.1164535208697116,-0.3710501077794782,,0.014559421358841302,0.2175943530597904,343.4288285477912,349.7605609553668,-6.3317324075756005,2.0,0.643775,0.0132275112499999,0.0434782608695652,0.0279902173913043
2021-01-25,343.139,343.5756,338.6967,343.139,1636499,-0.0009676524640074,-0.0515740096150664,-0.4416572616792931,,0.014527521770322424,0.2062579589399272,343.3322190318608,349.15860086851524,-5.826381836654434,2.0,0.0,0.0,0.0289855072463768,0.0
2021-01-26,343.0251,347.3155,340.6521,345.512,1153627,0.0068917619880093,2.884607686077519,0.0,,0.00869468489640275,0.1939711785835024,344.0588126879072,348.8270916986502,-4.768279010742958,1.0,0.6222,0.0,0.0188679245283018,0.0117396226415093
