date,open,high,low,close,volume
2021-01-04,138.8055,138.9022,135.5858,137.8554,9729887
2021-01-05,137.6707,139.6588,136.4127,139.3333,7163156
2021-01-06,138.348,141.1806,137.7762,140.6264,6591033
2021-01-07,140.2306,141.6557,139.2981,141.3654,6248054
2021-01-08,141.6205,141.7172,140.644,140.7848,6898539
2021-01-11,140.9695,141.9108,139.6676,140.1954,5736686
2021-01-12,140.1514,140.7496,138.4008,139.2981,5367258
2021-01-13,139.3421,139.8611,137.8906,139.1398,4411932
2021-01-14,141.4709,142.465,140.4065,141.4269,7908435
2021-01-15,141.8316,141.9862,139.963,140.7672,6300014
2021-01-19,142.333,143.4238,141.7172,143.2126,7376627
2021-01-20,143.8109,144.3915,142.333,142.7289,5433509
2021-01-21,142.9488,143.3798,140.8024,142.4826,5126614
2021-01-22,143.1159,145.2844,142.3946,144.2683,6567672
2021-01-25,145.2184,146.1069,143.9692,144.585,7835381
2021-01-26,148.7877,152.7573,148.3325,150.3293,11497680
2021-01-27,149.7224,150.3557,147.3032,148.0334,10978414
2021-01-28,148.9131,150.303,147.6111,148.5172,6927502
2021-01-29,143.3447,146.0277,141.2722,144.2683,16480940
2021-02-01,145.4559,145.4559,142.9048,142.9928,7722020
2021-02-02,144.0924,144.2683,141.7172,141.726,8396688
2021-02-03,142.245,142.2978,140.3713,141.2334,6780194
2021-02-04,142.0251,142.5881,140.5385,142.2978,5978759
2021-02-05,145.3767,146.2036,144.1453,144.6642,7243063
2021-02-08,145.7374,146.0189,144.1628,145.0776,4640880
2021-02-09,144.9721,146.5467,144.8401,146.2564,4219682
2021-02-10,147.2944,147.7343,145.7638,146.7402,4821375
2021-02-11,147.0833,147.3032,145.6758,146.0717,3654887
2021-02-12,145.6758,146.7754,144.2683,146.5555,3531473
2021-02-16,146.9074,146.9514,144.8313,145.3239,4453376
2021-02-17,145.2184,146.1069,144.585,145.5966,3342043
2021-02-18,145.6758,146.1684,144.5322,145.8518,4185360
2021-02-19,145.9045,146.1157,143.3095,143.3974,6266371
2021-02-22,143.2885,143.8761,141.8845,143.5752,4966076
2021-02-23,142.9733,144.4515,141.9819,142.212,5394966
2021-02-24,143.8407,145.5137,142.4422,144.1328,7777154
2021-02-25,145.3455,145.3544,143.3893,144.0709,7766369
2021-02-26,144.6365,144.9472,139.8309,141.6278,9974941
2021-03-01,142.867,143.3981,140.8223,141.3357,8138288
2021-03-02,141.6278,142.3182,140.3886,140.4771,5953643
2021-03-03,140.8754,141.0524,138.1137,138.2376,6567817
2021-03-04,137.972,138.1756,134.0773,135.5201,8898915
2021-03-05,136.2017,138.751,135.5467,137.8304,6442929
2021-03-08,138.7156,141.0347,138.0694,139.4768,5033410
2021-03-09,138.9015,142.2917,138.45,139.4149,5416075
2021-03-10,140.7515,141.5349,139.2909,140.8931,5184175
2021-03-11,141.8668,142.1855,140.6718,140.7426,4819337
2021-03-12,141.2852,141.9022,140.9108,141.2295,4473043
2021-03-15,141.6986,142.2474,140.3,141.9288,4371966
2021-03-16,142.1766,143.1149,141.7429,142.867,4923472
2021-03-17,143.1149,143.1679,141.2118,142.3094,4057245
2021-03-18,142.1589,142.9467,141.5924,142.2386,3655605
2021-03-19,142.6369,142.9556,141.1587,141.6278,12670763
2021-03-22,141.5658,142.2032,139.8575,142.1412,5845465
2021-03-23,141.6366,142.6904,140.6364,141.8934,5450993
2021-03-24,142.2386,143.823,141.4685,143.1769,4841179
2021-03-25,142.7343,143.7965,142.1943,142.9556,4962577
2021-03-26,143.345,146.1422,142.8493,145.319,5463568
2021-03-29,145.5314,147.8506,144.8422,147.3814,5942565
2021-03-30,146.1599,146.6379,145.3721,146.0625,5192453
2021-03-31,145.9651,146.3989,144.9029,145.7793,6783366
2021-04-01,144.0532,145.0269,143.3008,144.1328,5488819
2021-04-05,144.2922,145.8324,143.9824,144.6639,6015899
2021-04-06,144.7348,145.6288,144.2833,144.6285,3503582
2021-04-07,144.7785,145.4163,144.3718,144.8321,3600409
2021-04-08,144.5223,145.2673,144.1505,144.3276,3714506
2021-04-09,143.6991,144.2214,141.4331,142.6015,6386489
2021-04-12,142.5411,143.374,142.4776,143.0795,2799639
2021-04-13,139.4414,141.5658,138.3792,141.1675,14708833
2021-04-14,139.946,142.513,139.3263,142.0704,6020705
2021-04-15,141.6101,143.7434,141.6101,141.9465,6171316
2021-04-16,142.2474,143.8496,142.0881,143.3981,7224777
2021-04-19,143.6194,144.3807,142.3713,143.9204,6330840
2021-04-20,143.3981,148.5232,142.3359,146.9388,11890401
2021-04-21,146.0448,147.7443,145.7704,147.2309,4760613
2021-04-22,146.8946,147.1867,145.7173,146.275,5672926
2021-04-23,146.3546,148.2577,145.1681,147.7355,4189534
2021-04-26,146.7175,146.8503,144.9561,145.1773,4680668
2021-04-27,145.0888,145.2747,143.8142,144.8759,5107045
2021-04-28,144.3453,144.4604,143.0883,143.23,6213685
2021-04-29,143.7345,145.3986,143.2919,144.9915,5296291
2021-04-30,144.5706,145.4606,143.8584,144.2833,7581732
2021-05-03,144.5046,146.3369,144.3895,146.2396,5122177
2021-05-04,145.6288,148.5764,145.5757,148.2577,8237266
2021-05-05,147.9302,149.0633,147.6337,147.8417,5796211
2021-05-06,146.4963,148.6915,146.2307,148.4613,4272005
2021-05-07,148.479,149.7537,147.647,148.8066,3836968
2021-05-10,149.5944,151.8339,149.5944,150.6477,6724072
2021-05-11,150.3999,151.2496,148.957,149.5501,5488623
2021-05-12,148.9393,150.3025,148.6649,148.8862,5477131
2021-05-13,148.2666,151.0992,147.7975,150.5149,6156903
2021-05-14,151.1346,151.9578,150.63,150.6743,4073933
2021-05-17,150.4795,152.1525,150.4795,150.7451,3883807
2021-05-18,150.4809,151.6878,150.0635,150.5326,4514059
2021-05-19,150.0812,150.6212,148.7405,150.5503,4522842
2021-05-20,150.5415,151.887,150.2051,151.2054,3730427
2021-05-21,151.8073,152.9049,151.2496,151.4709,5260899
2021-05-24,151.8156,152.6172,151.2099,151.6375,3849048
2021-05-25,152.1006,152.3322,151.1832,151.486,4465845
2021-05-26,151.4148,151.486,149.8828,150.7468,4473114
2021-05-27,151.0852,151.5662,149.9719,150.9605,5624744
2021-05-28,150.4351,152.3099,150.4351,150.7468,5169624
2021-06-01,151.4059,151.8601,147.1396,147.2999,8310190
2021-06-02,147.4691,148.4978,147.0594,148.0302,5455245
2021-06-03,147.8521,148.8764,147.5893,147.8432,4637030
2021-06-04,148.4756,149.246,147.7363,147.8254,5413626
2021-06-07,148.1015,148.2974,146.6334,146.8189,4033337
2021-06-08,147.0416,147.5671,144.3517,145.4027,5863592
2021-06-09,145.8481,147.6561,145.7679,147.5314,4520441
2021-06-10,147.8165,149.2549,147.5582,149.01,5312504
2021-06-11,148.8853,148.9654,146.2667,146.9614,6217129
2021-06-14,146.5161,147.3711,145.9817,147.3533,4007298
2021-06-15,147.8253,147.8253,146.4181,146.5072,4067498
2021-06-16,146.3469,147.6294,145.6077,146.4537,5494634
2021-06-17,146.0707,147.5849,145.6254,147.1574,4659609
2021-06-18,145.8124,146.24,144.1024,144.325,10043166
2021-06-21,145.1088,146.2979,144.5121,145.9282,5546631
2021-06-22,145.7145,146.1064,145.4295,145.7323,4028353
2021-06-23,145.7145,145.7946,144.7169,144.8505,3407202
2021-06-24,145.2691,146.2489,145.0019,145.5096,3789447
2021-06-25,145.3582,146.7655,145.0821,146.2578,7937691
2021-06-28,146.3379,147.0238,145.6432,146.0886,4618536
2021-06-29,146.2934,146.6408,145.5452,146.0975,2911884
2021-06-30,146.2667,146.9525,145.7768,146.9525,4773752
2021-07-01,146.7922,147.861,146.0886,147.8165,5144278
2021-07-02,148.3853,150.7913,147.5314,150.5063,7614851
2021-07-06,149.3387,150.3994,148.7339,149.6067,5065700
2021-07-07,148.7428,150.9695,148.7428,150.533,4992382
2021-07-08,149.6334,150.9338,149.2594,150.5241,4632244
2021-07-09,150.533,151.7443,150.533,151.2812,4490673
2021-07-12,151.0028,152.4658,150.1144,150.5508,6251577
2021-07-13,150.248,151.1966,150.232,150.7557,3763593
2021-07-14,150.3104,152.1541,150.3104,151.8156,4968111
2021-07-15,150.8804,151.3257,149.3841,149.963,5245604
2021-07-16,150.1233,150.6043,149.5889,149.7225,4812025
2021-07-19,148.5914,149.8027,147.2464,148.7428,6431987
2021-07-20,149.3751,152.1362,148.244,150.533,8095581
2021-07-21,150.7735,151.201,149.1703,150.9605,5915696
2021-07-22,150.3282,152.3678,150.2124,151.397,4112091
2021-07-23,151.4593,153.3521,151.4593,153.0625,4019231
2021-07-26,152.306,153.3208,152.1825,153.0804,3558775
2021-07-27,152.3133,154.069,152.0115,153.7216,4986712
2021-07-28,153.8552,154.4254,152.9378,153.3565,4511113
2021-07-29,153.7706,154.3896,152.3812,152.6796,3245790
2021-07-30,153.5791,154.069,153.0536,153.3743,4311895
2021-08-02,153.6415,153.9443,152.5727,153.4366,2874420
2021-08-03,153.9087,155.4228,153.588,155.3249,4922016
2021-08-04,155.3338,155.503,154.265,154.265,3808623
2021-08-05,154.9775,155.1111,153.5702,154.8795,3478272
2021-08-06,154.8439,154.9775,153.5969,154.1848,3800204
2021-08-09,153.7395,155.2002,153.7395,154.8528,3055059
2021-08-10,154.0779,155.0755,153.8909,154.7103,2800727
2021-08-11,154.9775,155.3961,154.5856,154.9419,3357798
2021-08-12,155.0755,156.1265,154.6123,156.0463,3094442
2021-08-13,156.6698,157.0171,155.9305,156.9815,2854993
2021-08-16,156.7588,158.4422,156.0018,158.3977,3747860
2021-08-17,157.3214,159.8851,157.3214,159.8406,4829987
2021-08-18,159.5645,159.8762,157.7653,157.8722,5700752
2021-08-19,157.1686,159.722,156.8212,159.0479,3957047
2021-08-20,159.1548,160.2503,158.6025,159.7871,3842313
2021-08-23,160.0688,160.3197,159.0742,159.1011,5167554
2021-08-24,158.9488,158.9667,157.0493,157.224,4503067
2021-08-25,158.1334,158.1334,155.8057,156.2429,4241486
2021-08-26,156.1085,156.5475,155.0064,155.9024,3971834
2021-08-27,156.1322,156.1533,154.7824,154.9527,3911389
2021-08-30,154.8272,156.1533,154.8093,155.5978,2435222
2021-08-31,155.6695,156.3415,154.5405,155.1036,5414436
2021-09-01,155.0779,155.6695,154.1642,155.6695,3816132
2021-09-02,155.8397,156.9687,155.8218,156.7447,3366602
2021-09-03,156.9328,157.1478,155.7322,157.1478,3332617
2021-09-07,156.3325,156.9776,153.8148,154.3792,5271796
2021-09-08,154.1104,154.9885,153.2861,154.0208,3535219
2021-09-09,153.5012,154.0208,150.2577,150.5892,5655481
2021-09-10,151.3597,151.5031,149.514,149.5857,5410627
2021-09-13,150.1502,150.6878,147.8385,148.6987,4782576
2021-09-14,149.0033,149.2183,147.3995,147.9281,4138274
2021-09-15,147.8743,148.6987,147.2203,148.2148,5078628
2021-09-16,148.4209,149.1466,147.1128,148.0356,4025277
2021-09-17,148.1969,148.1969,146.5438,147.3188,10540182
2021-09-20,146.1361,147.9908,145.2984,146.7723,5516169
2021-09-21,147.731,148.7166,147.1575,147.4174,4317090
2021-09-22,148.1521,148.7255,146.611,146.7364,4414239
2021-09-23,147.6593,148.5284,147.0769,147.4801,3593099
2021-09-24,147.3905,148.4209,146.844,147.0321,3434062
2021-09-27,146.9425,147.2651,145.9121,146.8619,4471748
2021-09-28,146.0107,146.8619,144.9453,146.0196,5860657
2021-09-29,146.584,147.5339,145.8494,147.3995,3750035
2021-09-30,147.3188,148.1969,144.4875,144.5233,5365372
2021-10-01,144.6398,145.0609,142.1221,143.8872,6517375
2021-10-04,143.5915,144.2545,141.2742,142.6597,7016852
2021-10-05,143.1793,144.3531,142.597,142.9106,4038071
2021-10-06,142.8299,143.7349,141.4232,143.2779,5655542
2021-10-07,144.1739,145.6971,143.0629,144.5592,4138506
2021-10-08,144.828,144.8459,143.5825,144.1918,3633801
2021-10-11,144.4427,145.0206,143.3048,143.5825,3127557
2021-10-12,143.5557,143.5557,140.9752,141.2888,5611043
2021-10-13,141.2477,143.4302,141.029,142.6418,5698417
2021-10-14,143.3406,144.38,143.0002,143.7976,3491361
2021-10-15,144.3531,144.9803,143.7259,144.6129,5550611
2021-10-18,144.4337,144.4337,142.6418,143.7125,5279433
2021-10-19,143.8961,147.9729,143.8065,146.8619,8012676
2021-10-20,147.2203,147.6145,146.2795,146.7454,4786442
2021-10-21,147.3009,147.3905,145.4014,146.2616,3348096
2021-10-22,146.611,146.9963,146.0107,146.6737,3340829
2021-10-25,146.7633,147.2203,144.8907,147.0142,5471237
2021-10-26,147.3726,148.8241,146.9873,148.3761,5526655
2021-10-27,148.4567,148.5195,146.3198,146.7185,5761677
2021-10-28,146.7096,148.0177,145.4372,145.9121,4552016
2021-10-29,145.5953,146.4766,143.9051,146.3154,6723842
2021-11-01,146.0734,146.9246,142.821,145.6881,4664268
2021-11-02,146.2705,149.6142,146.0286,148.2596,5834011
2021-11-03,148.17,148.5284,146.4318,147.8923,5239850
2021-11-04,147.7803,147.8295,145.7508,147.1844,6977643
2021-11-05,146.62,147.4801,145.3297,146.4318,4529012
2021-11-08,146.3153,147.0948,145.1595,145.93,4442219
2021-11-09,145.715,146.5752,145.1684,145.3297,4885700
2021-11-10,145.491,147.6951,145.4641,147.1844,4606067
2021-11-11,147.3905,147.3905,145.5914,146.1003,3156540
2021-11-12,150.7056,151.082,146.1003,147.8743,13264980
2021-11-15,147.946,148.2507,146.2436,146.4945,4967463
2021-11-16,146.4587,147.2561,145.706,145.7508,4481100
2021-11-17,145.8315,146.9425,144.9624,146.4408,4297316
2021-11-18,146.4049,147.3636,145.267,145.2849,4688768
2021-11-19,145.5089,146.2168,144.9534,145.7867,6373989
2021-11-22,146.2673,146.6912,143.9944,144.0395,6158191
2021-11-23,144.6438,145.212,143.2097,144.8963,6182302
2021-11-24,144.8672,144.9234,143.7509,144.5626,4357599
2021-11-26,143.4713,145.3563,143.0744,143.1195,4521917
2021-11-29,144.0575,144.6889,142.885,144.283,5463011
2021-11-30,143.7689,143.7689,140.5219,140.9188,11408094
2021-12-01,141.4509,144.3834,140.9278,142.2176,7372587
2021-12-02,143.1917,143.6697,141.3788,142.2086,8753623
2021-12-03,142.0643,144.3101,141.9741,143.9493,6313921
2021-12-06,144.5716,147.4849,144.1568,146.9618,7500614
2021-12-07,147.3767,148.1614,146.4838,147.3406,5661725
2021-12-08,147.2594,148.4319,146.6912,148.2245,4977424
2021-12-09,147.7374,149.7037,147.4578,148.8919,5213327
2021-12-10,149.3609,150.344,148.5041,148.5492,5126040
2021-12-13,149.4773,152.6034,147.7374,151.8864,8673918
2021-12-14,151.2189,154.2043,150.768,153.6,8434960
2021-12-15,153.2393,154.6012,152.8063,154.3577,5965513
2021-12-16,154.502,156.4953,154.0871,155.6745,6658251
2021-12-17,152.9146,154.033,151.2189,151.733,13108893
2021-12-20,151.3542,151.9856,150.2178,151.1648,5810946
2021-12-21,151.5887,151.6158,149.7037,150.8131,6546309
2021-12-22,150.8131,151.6789,149.8299,150.9844,2984182
2021-12-23,151.4354,152.3824,150.9483,151.7511,2651069
2021-12-27,151.8142,153.1942,151.7601,153.0318,2526873
2021-12-28,153.0589,153.9067,152.9597,153.6451,2313943
2021-12-29,153.3295,155.1243,153.131,154.4028,2784926
2021-12-30,155.0702,155.9225,154.9079,155.4129,3132136
2021-12-31,155.1523,155.7453,154.2585,154.2945,3642463
2022-01-03,154.1683,154.7726,152.5177,154.7184,4622610
2022-01-04,154.1059,155.3949,153.8661,154.6734,5339200
2022-01-05,154.5922,156.4592,154.3757,155.0072,5600388
2022-01-06,155.4039,155.5843,154.051,154.6914,5436248
2022-01-07,154.6463,157.2078,154.3487,156.8921,5426622
2022-01-10,156.6666,156.6666,155.2731,155.9,6063346
2022-01-11,155.431,156.387,153.4287,154.4569,6250956
2022-01-12,153.8165,153.8165,151.8322,153.1401,6641419
2022-01-13,153.3746,153.7083,151.9405,152.2111,4589446
2022-01-14,151.8864,152.1118,150.7589,151.3813,4588853
2022-01-18,151.0566,151.2685,149.7307,150.6236,5817427
2022-01-19,150.7138,152.175,150.0072,150.2448,4601808
2022-01-20,149.875,151.3984,147.9178,149.0453,4501964
2022-01-21,148.8739,151.5166,148.3417,148.7025,8108579
2022-01-24,147.512,148.2245,142.7407,146.9167,10832526
2022-01-25,146.3845,151.8954,145.7351,150.3982,10255850
2022-01-26,151.3903,152.7612,149.9292,151.8683,7738798
2022-01-27,152.4095,155.0522,152.4095,153.8706,7052931
2022-01-28,153.6812,154.989,152.6981,154.9439,5552310
2022-01-31,154.6553,155.6925,154.0691,155.4941,6115023
2022-02-01,154.9349,155.1153,152.8154,154.1233,5967775
2022-02-02,153.2212,156.0263,152.4456,155.1333,5439558
2022-02-03,155.1243,156.5945,154.2675,155.8188,4152385
2022-02-04,154.2675,156.0172,153.4363,154.6914,5072010
2022-02-07,154.2494,154.8988,153.3385,154.2855,4388353
2022-02-08,154.1232,155.1784,153.7624,154.6914,4046624
2022-02-09,155.1333,155.3498,154.4569,154.6734,3696683
2022-02-10,153.8796,154.4298,152.6981,152.8063,6257086
2022-02-11,152.7161,153.4648,151.1107,151.264,9090361
2022-02-14,151.2099,151.4985,147.7465,149.7217,6152828
2022-02-15,150.0103,151.6158,149.7307,150.9844,5405419
2022-02-16,150.4433,151.3813,149.4614,150.8131,5595787
2022-02-17,150.8131,151.0295,148.7476,149.8931,4764598
2022-02-18,149.5247,150.1122,147.9154,148.1423,4976655
2022-02-22,147.9335,148.9321,145.6459,146.2814,5268752
2022-02-23,146.9713,147.6421,146.0181,146.354,6389918
2022-02-24,144.1571,145.3645,141.3611,143.5307,9829262
2022-02-25,144.6565,151.5874,144.611,150.8748,8674087
2022-02-28,149.7119,149.9488,147.3162,149.1046,6728019
2022-03-01,148.3693,149.5585,147.4323,148.8776,5370075
2022-03-02,149.5585,152.1729,148.9139,150.6932,4138041
2022-03-03,151.5919,153.7207,150.9837,152.9627,5122159
2022-03-04,151.601,154.1973,151.4648,153.8523,4595780
2022-03-07,152.6359,157.1567,151.9278,155.8676,8446406
2022-03-08,155.8767,157.1567,152.5542,153.1352,7759522
2022-03-09,153.9249,154.5967,152.4089,153.7434,5546050
2022-03-10,153.3894,154.4605,152.527,154.2336,3982195
2022-03-11,154.052,155.6498,153.4347,153.7343,3760950
2022-03-14,154.3244,158.0645,154.3244,155.8585,5783191
2022-03-15,156.0456,160.2432,156.0456,159.8982,8179352
2022-03-16,158.5093,160.6335,156.6483,158.4276,6653747
2022-03-17,158.1643,160.5337,158.1371,160.3249,5255167
2022-03-18,160.452,160.6789,157.6469,158.6908,10397171
2022-03-21,158.6818,160.8242,158.246,159.7711,5246603
2022-03-22,159.7893,160.107,157.8738,158.4094,5818438
2022-03-23,158.8633,159.3535,158.0372,158.2642,3794660
2022-03-24,158.5002,159.3535,158.0191,159.0812,3252503
2022-03-25,159.4897,161.3144,159.063,160.6063,3517165
2022-03-28,160.4157,161.7492,160.0888,161.4324,3681107
2022-03-29,162.1132,162.8576,160.4974,161.3507,4403742
2022-03-30,161.4959,163.3206,161.2962,163.3206,4549152
2022-03-31,163.1299,163.5929,160.6608,160.8786,8600040
2022-04-01,161.4324,161.9771,159.408,161.7592,5015694
2022-04-04,161.7592,161.7592,159.3354,160.1978,5220918
2022-04-05,160.3517,163.0846,159.6077,161.2327,5230807
2022-04-06,161.2145,165.7625,161.2145,165.3994,8154549
2022-04-07,164.3101,166.0803,163.6111,164.9455,5293100
2022-04-08,165.7171,166.2954,163.7926,165.3086,4802892
2022-04-11,165.1997,167.215,163.0392,163.257,4138536
2022-04-12,163.257,164.1376,161.7683,163.3115,4475260
2022-04-13,162.9393,164.1648,162.7124,164.0014,3860477
2022-04-14,163.7109,164.6732,163.1572,163.4023,4298445
2022-04-18,163.4386,163.7563,160.4429,161.2236,4517154
2022-04-19,160.5155,168.7946,160.5155,166.1983,10434344
2022-04-20,166.6249,167.3239,165.1271,167.1515,5475169
2022-04-21,167.3313,167.8232,165.7262,166.4525,4591898
2022-04-22,165.7444,166.2618,164.3102,164.8003,5855827
2022-04-25,164.7821,169.4754,164.7821,168.8399,8989429
2022-04-26,168.1319,169.3665,167.1696,167.1696,7847746
2022-04-27,167.6507,167.7778,164.9818,165.5356,8261804
2022-04-28,165.9804,167.4873,165.1452,166.5432,7554132
2022-04-29,166.1257,166.1257,163.5838,163.8199,6323940
2022-05-02,163.8289,164.6823,160.7061,161.8409,5137644
2022-05-03,162.0224,163.9742,161.2962,161.85,4305336
2022-05-04,161.7229,163.8562,160.8151,163.5838,4449237
2022-05-05,163.1663,163.1663,158.9995,158.9995,5227062
2022-05-06,158.9451,160.5609,158.5819,160.107,4980925
2022-05-09,158.8633,162.0951,158.4911,160.9785,5786528
2022-05-10,162.2131,162.6579,160.225,160.7606,6044089
2022-05-11,161.1237,161.8772,159.6622,159.8891,4552057
2022-05-12,159.8891,161.5867,158.6001,161.1419,4987012
2022-05-13,162.0951,162.3946,159.5921,160.5427,4292605
2022-05-16,160.5427,162.6125,159.9254,161.6593,3949747
2022-05-17,162.9484,163.1299,160.3067,162.4945,3257606
2022-05-18,162.3492,162.8304,158.8633,158.9995,5578711
2022-05-19,158.6455,158.6818,156.7663,157.7286,5063668
2022-05-20,158.4639,160.8242,158.0009,160.6638,5642204
2022-05-23,162.2389,164.3673,162.111,163.9745,4972742
2022-05-24,163.5269,166.2766,163.4904,165.7102,5004013
2022-05-25,165.3448,165.8472,163.5726,164.0842,4890784
2022-05-26,164.413,165.6554,163.1558,163.938,4254754
2022-05-27,164.3947,165.628,162.8144,165.427,4501924
2022-05-31,165.427,165.427,159.8729,164.2303,11804459
2022-06-01,164.3947,164.3947,160.6859,162.3394,3766870
2022-06-02,162.8235,162.8235,159.4878,161.8278,6634747
2022-06-03,161.8278,163.217,160.9143,161.1609,3101727
2022-06-06,161.4624,163.061,160.7727,161.1427,3845313
2022-06-07,161.2157,163.7918,161.0513,162.9149,4045147
