date,open,high,low,close,volume
2021-01-04,464.1958,471.4499,457.387,466.9371,1407133
2021-01-05,467.1153,477.9025,466.1207,472.7761,1360293
2021-01-06,467.1054,484.8894,465.3683,480.1886,1421498
2021-01-07,484.8399,500.2587,483.0684,495.1521,1496722
2021-01-08,503.2276,513.6289,497.8439,506.9982,1552197
2021-01-11,500.7634,513.2825,500.7634,511.3527,1102606
2021-01-12,507.691,510.363,490.8075,493.6823,1429022
2021-01-13,494.8255,499.7738,494.5979,496.31,899303
2021-01-14,497.2996,502.0692,490.9263,491.8412,965090
2021-01-15,494.8255,506.2114,490.8669,497.8583,1350057
2021-01-19,504.722,508.646,497.8969,502.0538,1252391
2021-01-20,505.87,514.381,504.1381,510.425,802747
2021-01-21,512.1444,514.6185,506.7112,507.1337,1052648
2021-01-22,506.4143,511.7584,504.7319,509.9276,1461982
2021-01-25,510.8677,516.5978,510.2839,513.4606,1033975
2021-01-26,515.5983,515.5983,501.951,502.4953,601465
2021-01-27,496.6959,496.6959,474.221,477.4868,1656773
2021-01-28,487.0073,498.1309,484.5925,491.3419,1079322
2021-01-29,488.9272,508.3639,485.5525,503.1905,1734557
2021-02-01,509.6703,521.1451,506.7013,506.83,1363702
2021-02-02,512.6392,520.2892,510.1354,513.1637,992724
2021-02-03,513.4309,514.1963,494.1327,494.8255,1116574
2021-02-04,495.0432,497.8439,482.6132,484.929,2047017
2021-02-05,487.8979,489.2538,482.0194,487.8979,1057222
2021-02-08,500.2686,500.2686,488.1355,490.6294,876594
2021-02-09,488.6501,494.8156,483.2482,484.2362,1035082
2021-02-10,484.459,489.135,478.8031,479.862,1209061
2021-02-11,482.3262,489.4022,479.0901,488.9371,658392
2021-02-12,489.3824,505.9888,488.6303,502.5745,1296601
2021-02-16,504.722,508.2947,493.1629,494.9047,792945
2021-02-17,492.8462,500.328,488.9767,493.3014,614160
2021-02-18,493.341,494.3802,483.2763,483.7414,1054712
2021-02-19,484.9389,484.9389,473.1126,473.9043,1377670
2021-02-22,473.0829,473.0829,456.9812,458.4855,1538837
2021-02-23,456.1104,456.6151,448.3614,454.0618,1370202
2021-02-24,459.1981,468.4612,449.8904,451.934,1816495
2021-02-25,453.0127,454.4576,443.8981,446.7977,1495304
2021-02-26,448.3812,451.1918,444.1851,445.4221,1345531
2021-03-01,451.8054,455.8333,449.2422,454.804,900115
2021-03-02,455.2395,462.4738,453.3344,457.8126,1241597
2021-03-03,460.9102,460.9102,446.0357,446.293,1227677
