date,open,high,low,close,volume
2021-01-04,239.9667,248.1633,238.5,243.5034,98265600
2021-01-05,241.0667,250.0,239.7333,249.7867,60259050
2021-01-06,253.58,258.0,249.7,254.25,89372460
2021-01-07,258.1767,276.4833,257.77,276.4833,99383199
2021-01-08,284.4333,294.9633,279.4633,293.2667,146249247
2021-01-11,287.42,287.6667,267.8741,270.46,113904084
2021-01-12,275.7267,289.3333,275.67,282.9733,92363469
2021-01-13,282.4,286.8233,277.3333,284.4667,64725075
2021-01-14,281.21,287.6667,279.5833,282.26,62548149
2021-01-15,284.8,286.6333,273.0333,275.0,77245173
2021-01-19,279.99,283.3333,277.6667,280.8733,45814131
2021-01-20,285.71,286.7267,279.0933,283.6333,46333059
2021-01-21,284.5,285.24,280.4734,281.2767,38024175
2021-01-22,278.0667,282.6667,276.2067,282.16,37290921
2021-01-25,285.4,300.1333,279.6067,294.0167,77299860
2021-01-26,297.55,298.6333,290.5333,294.8733,42944634
2021-01-27,290.52,297.1667,266.1433,275.6467,41943339
2021-01-28,275.0,282.6667,267.0,277.67,42234921
2021-01-29,277.8333,280.8033,260.0333,264.4667,59867520
2021-02-01,272.6633,280.6667,265.1867,280.1667,43564425
2021-02-02,282.1167,293.5,280.7335,290.3333,42052008
2021-02-03,292.5,292.6933,283.6667,283.85,31796919
2021-02-04,286.3167,286.33,277.8067,283.0,28391259
2021-02-05,282.6877,288.2567,279.6567,284.1767,32612655
2021-02-08,290.1667,292.59,284.9167,287.3333,34127619
2021-02-09,284.8333,286.6,280.5833,282.6733,25255128
2021-02-10,282.09,282.1133,266.6733,267.3333,64840542
2021-02-11,270.1433,276.6266,267.2417,270.26,37897332
2021-02-12,267.6333,272.4433,261.7769,272.0367,40817256
2021-02-16,273.8333,273.8333,264.1467,265.0833,34454709
2021-02-17,260.4067,266.6133,254.0033,264.64,44880669
2021-02-18,260.4,264.8967,258.6667,262.0,31944153
2021-02-19,265.3233,265.6167,259.1233,259.9467,32681403
2021-02-22,253.6667,256.1667,236.3333,238.6667,65637927
2021-02-23,226.4657,238.33,206.3333,236.6667,116736453
