date,open,high,low,close,volume
2021-01-04,48.3987,48.6857,46.2337,46.9722,2459751
2021-01-05,46.9638,49.7408,46.9553,48.7026,3238744
2021-01-06,48.9559,50.1797,48.3185,49.4707,4327199
2021-01-07,49.9687,50.6524,49.2006,50.0277,2465617
2021-01-08,50.9647,50.9647,48.3565,48.7109,3248330
2021-01-11,47.7319,49.9602,47.006,49.5382,2253075
2021-01-12,49.9687,50.4751,49.3966,50.2302,3064655
2021-01-13,49.8927,50.1544,48.4789,48.7026,3708841
2021-01-14,48.8292,51.4964,48.7701,50.8718,3658269
2021-01-15,50.1375,50.34,48.2805,49.2259,2984767
2021-01-19,49.7998,51.4458,49.5719,51.277,3226080
2021-01-20,51.4036,52.3236,50.2303,51.125,2683425
2021-01-21,50.8971,51.0575,49.3863,49.6817,2474452
2021-01-22,48.424,50.34,48.2805,50.0699,2375277
2021-01-25,49.6986,50.3738,48.8376,50.1797,2405277
2021-01-26,50.3147,51.1588,48.9558,49.0824,2587417
2021-01-27,48.5337,51.1166,48.002,49.5551,3768036
2021-01-28,50.4412,51.0997,48.2383,49.344,3361031
2021-01-29,48.9389,50.6017,47.217,47.6897,4533816
2021-02-01,48.3903,48.5337,46.2885,47.4702,3379859
2021-02-02,48.5253,49.8758,47.6897,49.7492,3241849
2021-02-03,48.7427,51.5893,48.7427,50.7283,4145086
2021-02-04,51.1419,52.2645,50.7536,51.7074,2870535
2021-02-05,51.9944,52.8129,51.7176,52.0957,2442759
2021-02-08,52.7034,55.32,52.619,54.8305,3421952
2021-02-09,54.3831,55.0317,53.5053,54.5182,3100167
2021-02-10,54.9275,56.029,54.3106,55.7843,2847590
2021-02-11,55.7671,55.7671,53.8737,55.3045,1984606
2021-02-12,54.5934,55.5015,54.5934,55.4673,1993604
2021-02-16,56.3326,58.029,56.3069,57.4036,2919396
2021-02-17,57.8319,58.7573,56.8599,58.3631,2658513
2021-02-18,57.7463,58.6116,56.8467,58.0119,2455329
2021-02-19,58.3289,61.8159,58.3289,61.2847,4288841
2021-02-22,61.2933,64.5833,60.8392,63.6151,3611248
2021-02-23,63.915,65.2858,62.3557,65.0888,3871462
2021-02-24,65.2002,67.4021,65.1059,67.4021,3769519
2021-02-25,67.5134,68.0789,66.0141,66.7252,5201154
2021-02-26,65.7571,66.8537,62.7669,65.9541,4173815
2021-03-01,66.9137,67.8561,66.5838,66.9822,2281820
2021-03-02,66.5453,67.4792,65.5771,65.6543,2585071
2021-03-03,66.1255,68.3359,65.9456,66.4853,3292906
2021-03-04,66.9737,67.3507,63.2296,65.5,4863672
2021-03-05,66.9994,68.1132,64.1035,67.7105,3396515
2021-03-08,68.1303,70.7692,68.1132,69.3384,3802503
2021-03-09,68.97,69.6896,65.4572,65.6114,4334460
2021-03-10,66.4853,69.8267,65.8599,69.5526,3232853
2021-03-11,69.9467,72.3028,69.8096,70.6664,3367027
2021-03-12,70.7949,71.7459,69.9552,70.6149,1934266
2021-03-15,70.8377,71.3175,68.7215,70.1095,2127909
2021-03-16,69.227,69.3298,67.4278,67.959,2961261
2021-03-17,67.4021,68.4645,66.0398,67.8047,2736626
2021-03-18,67.4192,67.522,62.9726,63.3238,4978669
2021-03-19,63.2896,64.232,62.2443,63.1439,9211367
2021-03-22,63.221,63.221,61.1991,61.9273,2978977
2021-03-23,60.8392,61.8202,59.734,60.1709,3105404
2021-03-24,61.0627,62.9297,60.8478,61.5418,2155141
2021-03-25,60.6336,62.3814,59.1599,62.1158,2580051
2021-03-26,62.844,63.975,61.5161,62.33,2156469
2021-03-29,62.2015,62.5185,60.5907,61.3447,1812767
2021-03-30,61.1819,62.4328,60.7021,61.9016,1525194
2021-03-31,61.5161,62.0387,60.7878,61.259,2474724
2021-04-01,61.6874,64.6604,61.0962,64.6005,2991547
2021-04-05,65.0288,65.5,62.6299,63.8722,3056552
2021-04-06,64.2234,65.937,62.8183,63.5552,2931235
2021-04-07,63.658,64.4719,63.2125,63.7522,2201189
2021-04-08,63.4096,63.5295,61.6104,62.4414,3363640
2021-04-09,62.5442,62.7412,60.6422,60.9077,2780912
2021-04-12,62.1029,62.1585,60.0767,60.2309,2036448
2021-04-13,60.702,60.7107,59.5798,60.4965,2680234
2021-04-14,60.7792,62.9811,60.7792,62.0473,2484607
2021-04-15,62.1158,62.1244,60.4879,61.1648,2143838
2021-04-16,62.0558,63.2296,60.7792,62.1158,4826387
2021-04-19,62.1158,62.2443,60.1195,60.8306,2841806
2021-04-20,60.6593,60.6593,57.9262,58.6887,3522562
2021-04-21,58.2775,60.5351,57.772,60.2395,2104095
2021-04-22,60.2052,60.6336,58.3717,58.6716,3512825
2021-04-23,58.9029,60.3508,58.603,59.8968,2371341
2021-04-26,59.6397,60.745,59.6397,60.5308,1626046
2021-04-27,60.6936,61.7388,60.4194,61.4132,1883001
2021-04-28,61.7902,63.7265,61.5332,63.658,3112849
2021-04-29,64.2663,64.9945,63.5637,64.1549,2933148
2021-04-30,63.1199,64.9688,62.7498,63.4781,2420708
2021-05-03,64.4034,67.2393,64.352,67.0251,3603062
2021-05-04,67.1707,67.8733,65.7314,66.9651,3018886
2021-05-05,67.3421,68.7558,66.4253,68.5159,3187740
2021-05-06,68.6015,69.1156,67.4792,69.1156,2163580
2021-05-07,68.1903,69.5011,67.7619,68.97,2516464
2021-05-10,69.6982,70.0966,68.0361,68.2331,3405068
2021-05-11,66.7852,67.7105,65.5666,66.5539,2696438
2021-05-12,66.828,70.6578,66.6395,68.5073,4653703
2021-05-13,67.9504,69.2527,66.4596,67.2564,2824748
2021-05-14,68.0594,70.4786,67.7212,70.3312,4249802
2021-05-17,69.8022,71.0075,68.8497,70.7821,2679732
2021-05-18,70.9468,71.1896,68.9351,68.9351,2310903
2021-05-19,67.3743,67.8252,65.9695,67.0101,3465802
2021-05-20,66.8541,67.3743,65.987,67.0622,2499908
2021-05-21,67.435,68.5363,66.8714,67.0275,2224689
2021-05-24,67.6258,68.4062,67.0622,67.9033,1691928
2021-05-25,67.8946,67.8946,66.5419,67.0535,2593406
2021-05-26,67.0969,68.7704,66.9971,68.5796,2576120
2021-05-27,68.7791,70.2271,68.7791,70.1057,3738465
2021-05-28,70.2705,70.626,69.282,69.7936,1735251
2021-06-01,70.8428,71.918,70.3919,71.259,2318880
2021-06-02,71.6405,73.5221,70.9208,73.3227,2591214
2021-06-03,72.8285,73.6609,72.1001,72.2475,2227258
2021-06-04,73.0798,73.0798,71.0682,72.1781,2178604
2021-06-07,72.1001,72.8545,71.4671,71.7012,1859528
2021-06-08,71.4671,72.4209,70.1231,72.1955,2500178
2021-06-09,72.4036,72.9557,70.9035,70.9815,2598035
2021-06-10,71.7532,73.0105,70.4786,71.0509,2230065
2021-06-11,71.7272,71.8485,70.4439,70.4873,1656069
2021-06-14,70.8081,71.6687,70.4396,71.0596,2371352
2021-06-15,71.5365,72.6377,70.7127,71.5365,2175427
2021-06-16,70.891,71.4844,69.1606,70.5393,2509582
2021-06-17,70.2445,70.8861,67.331,68.1374,3063923
2021-06-18,67.1576,67.8773,65.6315,65.9176,5614168
2021-06-21,66.2558,69.6635,66.2558,69.6635,2849667
2021-06-22,68.9525,70.704,68.2154,70.2185,3570017
2021-06-23,70.2373,71.97,69.9973,70.1057,3959707
2021-06-24,70.4526,71.3544,69.9803,71.3544,3421326
2021-06-25,71.0075,71.6145,70.0017,71.1809,7969423
2021-06-28,70.9208,71.0032,67.1229,67.3916,5375633
2021-06-29,67.7472,68.0854,66.6373,67.0015,4234564
2021-06-30,67.0535,68.042,66.698,67.6865,3445535
2021-07-01,68.597,69.1779,67.2529,67.3917,3689141
2021-07-02,67.7645,68.0247,66.6893,67.6951,1747094
2021-07-06,67.9813,67.9813,64.7036,64.773,4684499
2021-07-07,64.7643,65.1112,62.2757,62.7527,6959059
2021-07-08,61.4086,62.2237,60.3247,61.0791,4828411
2021-07-09,61.7641,62.809,60.9577,62.692,2845446
2021-07-12,61.9202,63.0995,61.2352,62.1717,2196822
2021-07-13,61.7208,62.0147,60.7583,61.1051,2644086
2021-07-14,61.2612,61.7728,58.4084,58.6772,4258448
2021-07-15,57.9922,59.2669,57.4893,57.9229,3402001
2021-07-16,58.9374,58.9374,55.8158,56.3187,3676480
2021-07-19,54.229,54.4804,52.6855,53.8041,5826540
2021-07-20,54.1943,55.0961,52.885,54.2289,4405562
2021-07-21,55.0441,56.9429,54.8793,56.3967,4099872
2021-07-22,56.3621,56.6569,54.5628,55.1481,2706663
2021-07-23,55.1394,55.5903,54.7579,55.2435,3238198
2021-07-26,55.1048,57.2205,55.1048,56.8737,2882531
2021-07-27,56.4646,56.917,55.4343,56.865,3813588
2021-07-28,57.3246,58.9547,56.8216,58.5732,3558100
2021-07-29,59.6571,60.264,58.2957,58.6512,3696567
2021-07-30,58.3564,59.1715,57.5162,58.0616,2801143
2021-08-02,58.287,60.0039,57.4893,57.576,3491594
2021-08-03,58.0712,59.9172,57.2985,59.6918,3373465
2021-08-04,59.2918,59.4236,56.3599,56.5008,5092822
2021-08-05,56.8705,58.6577,56.7385,57.8829,2681878
2021-08-06,58.4464,59.0362,57.7941,58.5433,2207640
2021-08-09,57.566,58.4992,57.2667,58.4992,2242050
2021-08-10,58.4552,59.1506,57.9578,58.9746,2976361
2021-08-11,58.4552,58.8601,57.4384,58.8425,4124695
2021-08-12,58.8425,59.2563,58.1471,59.2035,1416649
2021-08-13,59.3795,59.3905,58.2175,58.3231,1579074
2021-08-16,57.5396,57.6541,56.2367,56.5448,2376666
2021-08-17,56.4128,56.8882,55.3828,55.911,2654107
2021-08-18,55.8908,56.9234,54.7401,54.8017,2499378
2021-08-19,54.0534,54.0534,52.2311,53.041,4265875
2021-08-20,52.7417,53.1995,51.8085,52.8826,4031350
2021-08-23,54.1591,55.6645,54.1503,55.6381,3943708
2021-08-24,56.1222,57.6761,55.9902,57.4252,3052250
2021-08-25,57.4085,58.8513,57.1523,58.4024,2506508
2021-08-26,58.103,58.6136,57.5044,57.6276,2175667
2021-08-27,58.3407,59.8725,57.927,59.1506,2488539
2021-08-30,59.494,59.8549,58.0854,58.1206,2150040
2021-08-31,57.9446,59.0362,57.4252,58.3759,5287798
2021-09-01,58.359,58.9834,55.6645,56.2983,4021343
2021-09-02,56.6505,58.0942,56.2631,57.3988,2811780
2021-09-03,57.0026,58.0238,56.4128,56.8882,1639135
2021-09-07,56.7436,58.4728,56.6505,57.6541,2395612
2021-09-08,57.9886,58.3847,56.0518,56.2455,2828958
2021-09-09,55.9022,57.3459,55.2859,55.9286,2238622
2021-09-10,56.6328,56.6945,55.1979,55.8229,2369230
2021-09-13,56.4744,58.7369,56.3423,58.3671,3461266
2021-09-14,58.7809,59.2739,56.7561,56.9586,2218113
2021-09-15,57.7685,58.7193,57.3283,58.5608,3223802
2021-09-16,58.103,58.8865,57.5308,57.6276,1808521
2021-09-17,57.3811,58.5432,57.2227,57.6364,3946517
2021-09-20,55.7878,56.5008,54.458,55.3421,2881287
2021-09-21,55.9022,56.4656,54.8193,55.6204,2532187
2021-09-22,56.492,58.6753,56.3687,57.5044,3655396
2021-09-23,57.8389,59.2827,57.3811,59.1418,2568746
2021-09-24,58.6665,59.8461,58.3671,59.538,1765023
2021-09-27,60.6208,63.1826,60.3215,62.5136,4080740
2021-09-28,62.9009,64.2039,62.4784,62.6544,3509215
2021-09-29,62.5928,62.5928,61.3207,62.0646,2116203
2021-09-30,61.9149,62.8965,61.0962,62.1174,3030294
2021-10-01,62.1174,65.1458,62.1174,65.0402,4008959
2021-10-04,65.5948,66.6776,64.8642,65.9294,3196958
2021-10-05,66.9946,67.6812,64.195,65.1722,3681683
2021-10-06,64.3818,66.7569,63.6756,66.6072,3492191
2021-10-07,66.7305,67.8485,66.123,66.8185,3052090
2021-10-08,67.3379,69.3891,67.3379,69.1954,2820021
2021-10-11,70.4015,70.5952,68.4647,68.4912,3326818
2021-10-12,68.2799,70.1418,68.051,69.3715,1885420
2021-10-13,68.6936,69.2659,67.7164,68.72,2560607
2021-10-14,69.8029,70.4103,69.4683,69.6972,2051939
2021-10-15,70.3663,70.7184,69.1954,69.2483,1985667
2021-10-18,69.7412,70.2166,68.2799,68.7817,2760213
2021-10-19,69.169,70.692,69.0458,70.5864,2867405
2021-10-20,69.9349,71.59,69.8381,71.5284,3199515
2021-10-21,72.1182,73.201,70.692,72.1974,3650075
2021-10-22,72.4967,72.5848,69.9305,71.3171,3137867
2021-10-25,71.9333,73.1746,71.7572,72.8049,2107354
2021-10-26,72.8577,73.0776,71.8453,72.083,1692534
2021-10-27,72.0742,72.0742,68.8873,69.2394,2462626
2021-10-28,69.2571,70.1796,68.3679,68.5792,2291608
2021-10-29,68.8873,69.213,67.4876,68.0774,3728040
2021-11-01,68.2094,69.4771,68.183,68.8873,2687359
2021-11-02,68.4912,68.7112,66.5896,66.7128,3083908
2021-11-03,66.0438,67.8924,65.498,66.8449,3504642
2021-11-04,67.7517,68.139,66.0878,67.2146,2674228
2021-11-05,68.122,68.7376,67.065,68.588,2680585
2021-11-08,69.4331,69.6268,68.0246,68.4735,2033934
2021-11-09,68.2094,69.0546,67.7869,68.9665,2487768
2021-11-10,68.9665,69.3583,67.4611,67.6636,2897648
2021-11-11,67.7869,68.7112,67.2588,67.9805,2204551
2021-11-12,67.7076,68.3943,66.7833,67.5668,1944251
2021-11-15,67.7076,68.5968,66.9766,68.095,3490380
2021-11-16,68.6672,69.5564,67.9805,68.6584,3515645
2021-11-17,68.4326,68.7002,65.3727,65.3727,3281469
2021-11-18,65.5244,66.3273,64.2576,65.0872,3247157
2021-11-19,63.3477,64.4003,61.2156,61.733,4237332
2021-11-22,61.8222,64.3379,61.3494,63.0265,2948234
2021-11-23,63.5261,65.2969,63.3387,64.7215,2675922
2021-11-24,64.7507,65.6136,64.1773,65.0783,2887051
2021-11-26,62.1879,62.4377,59.1102,60.493,4589709
2021-11-29,62.2504,62.9284,60.6625,60.8141,2977865
2021-11-30,59.6276,60.3324,58.6106,60.3324,7768450
2021-12-01,61.1085,63.3031,59.7436,60.0469,4371105
2021-12-02,60.3056,63.9097,59.4314,63.535,3921125
2021-12-03,64.213,64.6858,61.6884,62.1879,2859380
2021-12-06,63.3298,63.7491,62.0898,62.9819,1985414
2021-12-07,64.0792,65.7296,63.6287,63.9008,2734790
2021-12-08,64.1862,64.4717,62.8838,62.9819,2081769
2021-12-09,62.3931,63.2585,62.1523,62.7232,2122211
2021-12-10,63.3298,63.6956,62.0318,63.2049,1567605
2021-12-13,62.6875,62.7856,60.6089,60.8587,2186947
2021-12-14,60.1183,62.7054,60.1183,60.832,2095856
2021-12-15,60.9568,61.2602,59.1905,60.8766,2406235
2021-12-16,61.501,62.9373,61.1229,61.3315,2400678
2021-12-17,61.1442,62.0764,59.8417,61.278,4077193
2021-12-20,59.9844,61.4475,58.1034,61.278,3176851
2021-12-21,62.1255,63.6956,61.7597,63.6242,3261533
2021-12-22,63.6688,64.3215,63.089,63.6064,1371971
2021-12-23,63.9632,65.453,63.874,63.874,3137082
2021-12-27,63.8116,65.2746,62.8927,65.2389,1802649
2021-12-28,65.7831,67.0588,65.5957,66.4611,2235332
2021-12-29,66.3094,66.8045,65.5422,66.4611,2275429
2021-12-30,66.4343,67.255,66.0061,66.2648,1854836
2021-12-31,65.7206,67.4781,65.7206,66.9071,2000398
2022-01-03,66.9071,69.7707,66.9071,68.6824,2821028
2022-01-04,69.4496,70.8234,69.3604,69.9046,3212573
2022-01-05,70.4131,71.2248,69.4407,69.7618,3047861
2022-01-06,71.2159,71.7869,70.4398,71.5103,3343222
2022-01-07,71.9029,72.6433,71.323,72.2597,2916394
2022-01-10,72.0367,72.7637,71.7156,72.2865,2969713
2022-01-11,72.6879,75.0163,72.4381,74.6505,3277249
2022-01-12,75.2125,75.9619,74.597,74.936,2418334
2022-01-13,75.2661,75.7656,74.1063,74.365,2210353
2022-01-14,73.5889,76.1225,73.5889,76.0779,2420750
2022-01-18,76.9432,77.077,75.0787,76.6042,2744291
2022-01-19,77.1634,77.2367,74.6416,75.1233,2125669
2022-01-20,74.4007,75.5248,72.3489,72.6968,2918703
2022-01-21,71.6315,72.0456,70.0657,70.5826,3913090
2022-01-24,68.9143,70.3595,66.9419,70.1097,3740806
2022-01-25,69.9402,72.7949,68.3345,72.3757,2991067
2022-01-26,74.0439,74.9003,71.6263,72.5362,2937794
2022-01-27,74.3204,75.4088,71.4122,73.018,4123878
2022-01-28,72.5987,74.2847,70.7699,73.1339,3306784
2022-01-31,72.5808,74.0617,71.2873,73.6246,3602972
2022-02-01,73.7763,77.4606,73.1785,77.193,4524100
2022-02-02,77.3176,78.31,76.0636,77.5883,3574228
2022-02-03,77.5883,78.1657,76.244,76.7673,2351030
2022-02-04,77.1462,79.0318,76.9116,77.9852,2818278
2022-02-07,78.3371,81.5038,77.2815,80.8632,3663461
2022-02-08,80.4753,80.9715,78.6528,79.7445,2197830
2022-02-09,79.8528,80.791,79.5099,80.1505,1687858
2022-02-10,79.8798,81.8827,79.4107,81.0978,3755497
2022-02-11,81.8286,84.5983,80.7549,83.0014,4757297
2022-02-14,82.433,82.5503,80.0963,80.9444,3371532
2022-02-15,79.5009,80.5068,78.4995,79.8708,2678898
2022-02-16,80.5745,81.8691,79.149,79.4377,3646276
2022-02-17,79.7084,79.7355,78.2378,78.5265,2222551
2022-02-18,78.0394,79.0556,77.5071,78.2378,2041823
2022-02-22,79.8437,80.2768,76.4966,77.4439,2710040
2022-02-23,77.6604,78.4363,77.0199,77.904,2670767
2022-02-24,79.4829,79.4829,74.2592,75.5042,4317128
2022-02-25,75.6395,77.3086,75.6305,76.5688,2474344
2022-02-28,76.244,76.476,73.8893,75.3418,4408775
2022-03-01,76.4605,77.4078,71.8594,72.8969,4590100
2022-03-02,74.4305,75.9192,73.3164,75.423,3695257
2022-03-03,74.5028,76.659,74.5028,75.9643,2661231
2022-03-04,76.4605,77.9491,74.8366,77.5883,4530309
2022-03-07,78.8964,79.7625,75.405,75.7928,4219355
2022-03-08,76.6951,83.5608,76.6861,81.7834,8325424
2022-03-09,79.3926,81.8556,77.9942,78.6348,5799058
2022-03-10,79.6182,81.197,77.8499,80.7499,3257543
2022-03-11,79.8181,84.4629,79.8181,83.0014,5135114
2022-03-14,81.6752,83.1818,80.1775,81.7926,3488930
2022-03-15,78.6817,81.7913,74.999,76.4605,4723528
2022-03-16,76.9387,78.301,75.9824,76.6861,2435161
2022-03-17,78.2649,80.385,77.4439,80.376,2977791
2022-03-18,79.3295,82.027,79.3205,81.6481,6261951
2022-03-21,82.2887,85.6719,82.2887,85.4189,3467440
2022-03-22,85.6989,85.6989,82.6586,84.4359,2542628
2022-03-23,85.9606,87.4402,85.5817,86.0688,2934116
2022-03-24,86.3305,87.9815,85.6268,87.0071,2374481
2022-03-25,86.1681,88.0943,86.1591,87.9093,2336052
2022-03-28,86.0779,87.6116,85.9425,86.944,2237377
2022-03-29,85.302,87.4853,84.49,87.2236,2015366
2022-03-30,88.1439,91.5541,88.1439,90.67,3118509
2022-03-31,89.7227,93.0067,88.9459,91.6083,3873749
2022-04-01,91.6534,92.9706,90.5978,91.3647,2441127
2022-04-04,92.5556,92.6999,90.3091,90.8865,1982872
