,date,rf_daily
0,2021-01-04,3.5714221938927356e-06
1,2021-01-05,3.5714221938927356e-06
2,2021-01-06,3.5714221938927356e-06
3,2021-01-07,3.5714221938927356e-06
4,2021-01-08,3.174598135561181e-06
5,2021-01-11,3.174598135561181e-06
6,2021-01-12,3.5714221938927356e-06
7,2021-01-13,3.5714221938927356e-06
8,2021-01-14,3.5714221938927356e-06
9,2021-01-15,3.5714221938927356e-06
10,2021-01-18,
11,2021-01-19,3.5714221938927356e-06
12,2021-01-20,3.174598135561181e-06
13,2021-01-21,3.5714221938927356e-06
14,2021-01-22,3.174598135561181e-06
15,2021-01-25,3.5714221938927356e-06
16,2021-01-26,2.7777739197602314e-06
17,2021-01-27,3.174598135561181e-06
18,2021-01-28,2.7777739197602314e-06
19,2021-01-29,2.38094954648976e-06
20,2021-02-01,2.7777739197602314e-06
21,2021-02-02,2.7777739197602314e-06
22,2021-02-03,1.587300327539756e-06
23,2021-02-04,1.587300327539756e-06
24,2021-02-05,1.1904754818599728e-06
25,2021-02-08,1.984125015749643e-06
26,2021-02-09,1.587300327539756e-06
27,2021-02-10,1.984125015749643e-06
28,2021-02-11,1.984125015749643e-06
29,2021-02-12,1.587300327539756e-06
30,2021-02-15,
31,2021-02-16,1.587300327539756e-06
32,2021-02-17,1.587300327539756e-06
33,2021-02-18,1.1904754818599728e-06
34,2021-02-19,1.587300327539756e-06
35,2021-02-22,1.1904754818599728e-06
36,2021-02-23,1.587300327539756e-06
37,2021-02-24,1.1904754818599728e-06
38,2021-02-25,1.587300327539756e-06
39,2021-02-26,1.587300327539756e-06
40,2021-03-01,1.984125015749643e-06
41,2021-03-02,1.587300327539756e-06
42,2021-03-03,1.984125015749643e-06
43,2021-03-04,1.587300327539756e-06
44,2021-03-05,1.587300327539756e-06
45,2021-03-08,1.984125015749643e-06
46,2021-03-09,1.984125015749643e-06
47,2021-03-10,1.587300327539756e-06
48,2021-03-11,1.587300327539756e-06
49,2021-03-12,1.587300327539756e-06
50,2021-03-15,1.587300327539756e-06
51,2021-03-16,7.936504787101692e-07
52,2021-03-17,7.936504787101692e-07
53,2021-03-18,3.9682531809021986e-07
54,2021-03-19,3.9682531809021986e-07
55,2021-03-22,1.1904754818599728e-06
56,2021-03-23,3.9682531809021986e-07
57,2021-03-24,7.936504787101692e-07
58,2021-03-25,7.936504787101692e-07
59,2021-03-26,7.936504787101692e-07
60,2021-03-29,1.1904754818599728e-06
61,2021-03-30,7.936504787101692e-07
62,2021-03-31,1.1904754818599728e-06
63,2021-04-01,7.936504787101692e-07
64,2021-04-02,7.936504787101692e-07
65,2021-04-05,1.1904754818599728e-06
66,2021-04-06,7.936504787101692e-07
67,2021-04-07,7.936504787101692e-07
68,2021-04-08,3.9682531809021986e-07
69,2021-04-09,7.936504787101692e-07
70,2021-04-12,7.936504787101692e-07
71,2021-04-13,1.1904754818599728e-06
72,2021-04-14,7.936504787101692e-07
73,2021-04-15,7.936504787101692e-07
74,2021-04-16,7.936504787101692e-07
75,2021-04-19,7.936504787101692e-07
76,2021-04-20,1.1904754818599728e-06
77,2021-04-21,1.1904754818599728e-06
78,2021-04-22,1.1904754818599728e-06
79,2021-04-23,1.1904754818599728e-06
80,2021-04-26,1.1904754818599728e-06
81,2021-04-27,3.9682531809021986e-07
82,2021-04-28,3.9682531809021986e-07
83,2021-04-29,3.9682531809021986e-07
84,2021-04-30,3.9682531809021986e-07
85,2021-05-03,1.587300327539756e-06
86,2021-05-04,7.936504787101692e-07
87,2021-05-05,7.936504787101692e-07
88,2021-05-06,7.936504787101692e-07
89,2021-05-07,7.936504787101692e-07
90,2021-05-10,7.936504787101692e-07
91,2021-05-11,3.9682531809021986e-07
92,2021-05-12,7.936504787101692e-07
93,2021-05-13,7.936504787101692e-07
94,2021-05-14,3.9682531809021986e-07
95,2021-05-17,7.936504787101692e-07
96,2021-05-18,7.936504787101692e-07
97,2021-05-19,3.9682531809021986e-07
98,2021-05-20,3.9682531809021986e-07
99,2021-05-21,3.9682531809021986e-07
100,2021-05-24,7.936504787101692e-07
101,2021-05-25,7.936504787101692e-07
102,2021-05-26,7.936504787101692e-07
103,2021-05-27,7.936504787101692e-07
104,2021-05-28,3.9682531809021986e-07
