AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.20634282,-0.01169977,-0.0035986728,0.20626871,0.064620875,0.19490679,0.11800804,0.08298872,0.14216246,2024-03-18
0.20515244,-0.010088246,-0.0039021918,0.20507036,0.06451222,0.19366415,0.119307235,0.085960485,0.14032345,2024-03-19
0.20593934,-0.009697462,-0.0022784448,0.20570017,0.063048996,0.19453269,0.11813476,0.084816866,0.1398031,2024-03-20
0.20371419,0.005076998,0.0106444135,0.20173849,0.051750544,0.19357193,0.11524643,0.09125447,0.12700255,2024-03-21
0.20728748,-0.011230945,-0.003638255,0.20738472,0.06443711,0.19530278,0.117052175,0.08101749,0.14238739,2024-03-22
0.2076412,-0.008218628,-0.00041770685,0.20708215,0.06021076,0.19595557,0.11629956,0.083390415,0.13805662,2024-03-25
0.20793612,-0.0038400935,0.0031781916,0.20673704,0.056107175,0.19633274,0.11519723,0.08509817,0.1332534,2024-03-26
0.20728137,-0.004657031,-0.0014712191,0.20670453,0.05990978,0.19447462,0.11777662,0.08714736,0.13283394,2024-03-27
0.20608968,-0.0051487945,-0.0017353429,0.2057174,0.061827853,0.1935033,0.11890042,0.087391905,0.13345361,2024-03-28
0.20711751,-0.007327891,-0.003028184,0.20698105,0.06294204,0.19425867,0.11826018,0.08503597,0.13576065,2024-04-01
0.20829062,-0.007594227,-0.0035940895,0.20820658,0.06252072,0.19482887,0.117842846,0.08444857,0.13505012,2024-04-02
0.20918399,-0.010188977,-0.00471999,0.20936854,0.06370091,0.19575548,0.116966456,0.081811786,0.13812181,2024-04-03
0.20872219,-0.0072950907,-0.0028496191,0.20833425,0.05984938,0.19593811,0.116912164,0.08462382,0.13576484,2024-04-04
0.20864838,-0.0057468405,-0.002615333,0.20815673,0.05900767,0.19550095,0.117272876,0.08609305,0.13368252,2024-04-05
0.20698094,-0.003270962,-0.0019795354,0.20639122,0.05899496,0.19409913,0.118287474,0.088730626,0.13176614,2024-04-08
0.20752381,6.654942e-05,-0.00064103317,0.20663862,0.05666101,0.19397622,0.11788273,0.089780994,0.12811112,2024-04-09
0.20604752,0.00087513274,-0.0018017468,0.20538604,0.058564495,0.19216542,0.11997014,0.092217796,0.12657517,2024-04-10
0.2086753,-0.0018423077,0.00051636976,0.20763588,0.055532042,0.1958721,0.115884066,0.08690162,0.13082495,2024-04-11
0.20644534,-0.0012480142,0.0015187974,0.20526858,0.055341307,0.1949748,0.116144195,0.08878969,0.13276534,2024-04-12
0.20783482,-0.00310271,0.00056323264,0.20669818,0.055423945,0.19604617,0.115783565,0.08724072,0.13351204,2024-04-15
0.21013255,-0.0047849515,-0.0001843962,0.20914336,0.056018416,0.1973465,0.11481669,0.08435002,0.13316183,2024-04-16
0.20905122,0.004961887,0.011144207,0.20639256,0.047721338,0.1977697,0.11122256,0.085823774,0.12591274,2024-04-17
0.21081647,-0.0053568147,-0.002294567,0.210124,0.056746032,0.19703983,0.115405045,0.08482872,0.13269126,2024-04-18
0.2102988,-0.001019806,0.0033431184,0.20876715,0.05272957,0.19733395,0.11429253,0.08583208,0.12842257,2024-04-19
0.21012999,-0.008361334,-0.0038780835,0.21020357,0.061372645,0.19582777,0.11714535,0.08324087,0.1343192,2024-04-22
0.20888776,-0.008805344,-0.0040468425,0.20893608,0.062221847,0.19535403,0.11748988,0.08351872,0.13644388,2024-04-23
0.20525062,-0.002059667,-0.0032364854,0.20490266,0.06082362,0.1917045,0.12119612,0.092121005,0.12929763,2024-04-24
0.20618486,-0.0014175774,-0.0033777477,0.20574908,0.05939028,0.19220126,0.12093387,0.09261809,0.12771787,2024-04-25
0.20452207,0.011708525,0.008947576,0.20227948,0.04814463,0.19267268,0.116449535,0.09500713,0.120268404,2024-04-26
0.20593914,0.0063971113,0.0061540427,0.20407186,0.050416477,0.19402708,0.11624715,0.09215323,0.124593884,2024-04-29
0.20213892,0.016419157,0.008998964,0.19979374,0.047988795,0.19040063,0.118352115,0.09921343,0.116694205,2024-04-30
0.2044711,0.015095626,0.008926796,0.20183147,0.047164705,0.19200532,0.116713434,0.096971475,0.11682002,2024-05-01
0.20515044,0.0046173264,-0.0001635747,0.20413183,0.057348642,0.19139409,0.12022116,0.0942071,0.12309298,2024-05-02
0.20329614,0.008415391,0.009454053,0.20122786,0.05033942,0.19263925,0.11643008,0.09379593,0.12440183,2024-05-03
0.20390266,0.00039478432,0.0033515007,0.20255849,0.055095498,0.193543,0.117318474,0.090860575,0.13297501,2024-05-06
0.20422713,0.004893375,0.00620981,0.20243458,0.051791362,0.19345456,0.116820686,0.09282522,0.12734324,2024-05-07
0.20576303,-0.002006083,0.0008137992,0.20468998,0.05661067,0.19414234,0.11787557,0.08980472,0.132306,2024-05-08
0.20795411,-0.0012570317,0.0036788767,0.20647578,0.053690344,0.1960144,0.115620784,0.08771643,0.13010633,2024-05-09
0.20625636,-0.0042533455,-0.0007478569,0.20566444,0.05953563,0.19373977,0.11884588,0.08823574,0.13272336,2024-05-10
0.20613247,-0.0076061008,-0.0057981545,0.20643866,0.06466476,0.19211783,0.121473454,0.08828768,0.13428944,2024-05-13
0.20588475,-0.00693142,-0.0056990944,0.20605095,0.06447494,0.19201697,0.12154376,0.089024015,0.13363515,2024-05-14
0.20615283,-0.0015955087,-0.0006019642,0.2052707,0.05786937,0.19338515,0.11953797,0.09086955,0.1291119,2024-05-15
0.20544226,-0.0045846426,-0.0013482723,0.20485021,0.06041943,0.1933542,0.119610384,0.08885748,0.13339895,2024-05-16
0.20565669,-0.0051781232,-0.0015410825,0.2052128,0.06145392,0.1934115,0.11930443,0.087422974,0.13425688,2024-05-17
0.20598419,-0.0073749633,-0.003516937,0.20586272,0.06337764,0.19356576,0.11937918,0.08578832,0.13693413,2024-05-20
0.20845835,-0.004654894,0.0017549881,0.20737775,0.05627536,0.19671285,0.11495058,0.08458592,0.13453908,2024-05-21
0.20554604,-0.0021906802,-0.0014867956,0.2048202,0.05909514,0.19295806,0.12003425,0.090767,0.13045673,2024-05-22
0.20630434,-0.005942984,-0.0032922197,0.20603526,0.06231877,0.19343637,0.11978679,0.08743373,0.13391997,2024-05-23
0.20878199,-0.006616065,-0.0015976059,0.20804286,0.05791464,0.19651079,0.116281666,0.08515024,0.13553144,2024-05-24
0.20687243,-0.00077063154,0.0051210327,0.2052868,0.05240853,0.19605033,0.11536651,0.08764816,0.1320168,2024-05-28
0.20774724,-0.0020050239,0.005815527,0.20608336,0.051813204,0.19726902,0.1134942,0.08563939,0.13414302,2024-05-29
0.20802008,-0.0014319301,0.004969004,0.20636235,0.052276358,0.19695014,0.11376379,0.08669501,0.13239522,2024-05-30
0.20689179,-0.0062408536,-0.002517319,0.20648874,0.05976088,0.19412097,0.11839503,0.088307604,0.1347932,2024-05-31
0.20484868,-0.010246067,-0.0031182,0.20461032,0.06371599,0.19392586,0.11904987,0.085484855,0.14172876,2024-06-03
0.2049599,-0.0050476003,0.003488336,0.20389974,0.057070754,0.19477329,0.116933785,0.086987995,0.13693383,2024-06-04
0.20608766,-0.0076235533,0.00050059863,0.20532785,0.0590471,0.19539149,0.11700947,0.085436575,0.1388228,2024-06-05
0.20524862,0.0012570978,0.013442592,0.20302856,0.048276253,0.19601348,0.11342108,0.088163085,0.13114914,2024-06-06
0.20459577,-0.0027519038,0.0032081376,0.20349279,0.05686445,0.193892,0.1181705,0.08903888,0.13348937,2024-06-07
0.2055503,-0.0024801116,0.004829984,0.2041974,0.055006348,0.19503419,0.11652065,0.087951064,0.1333902,2024-06-10
0.2062938,-0.004364049,0.0022068408,0.20522045,0.05666151,0.19515227,0.116978936,0.08739776,0.13445246,2024-06-11
0.20514663,-0.0071873446,0.0009567265,0.20429748,0.058551643,0.19486041,0.11698104,0.08667353,0.13971989,2024-06-12
0.20441921,-0.002492906,0.0061681597,0.20277366,0.052700818,0.19522665,0.1149508,0.08948075,0.13677286,2024-06-13
0.203219,-0.0046092486,0.0013606859,0.20223708,0.05783382,0.19314131,0.11914052,0.09062615,0.13705073,2024-06-14
0.20445924,-0.0070673153,-0.0002456556,0.20377715,0.059715338,0.19391793,0.11871047,0.087949894,0.13878295,2024-06-17
0.20329316,-0.0046713646,0.00096891,0.20236453,0.058359317,0.19310208,0.1193884,0.0906257,0.13656932,2024-06-18
0.20403515,-0.0059369123,-1.1940857e-05,0.20324647,0.059110794,0.19359417,0.119212106,0.08922171,0.13752842,2024-06-20
0.20477907,-0.0070097223,-0.00097033917,0.20423624,0.060898717,0.19362153,0.11901059,0.08777304,0.13766089,2024-06-21
0.20166123,-0.007394419,-0.0028009848,0.20144114,0.06409727,0.1911442,0.121740155,0.0906113,0.13950014,2024-06-24
0.20300971,-0.007425689,-0.0013005768,0.20256327,0.062927745,0.19236717,0.121376835,0.08946198,0.13701959,2024-06-25
0.20370446,-0.008398695,-0.0006173422,0.20316009,0.061106984,0.19371474,0.11921841,0.08710358,0.14100784,2024-06-26
0.20154653,0.0030967814,0.0068805525,0.19994117,0.0530285,0.19184318,0.119128175,0.094743304,0.12979178,2024-06-27
0.20270017,0.009408592,0.015167216,0.20007429,0.04650315,0.19343446,0.11410447,0.09342586,0.12518182,2024-06-28
0.20169091,0.00031785478,0.0018599994,0.2006709,0.057499923,0.19084108,0.12162582,0.09443853,0.131055,2024-07-01
0.20079555,0.006946074,0.00867561,0.19897093,0.05138829,0.19094075,0.11931118,0.09680003,0.12617162,2024-07-02
0.2000893,0.009670179,0.0077452064,0.19814657,0.050675318,0.18994953,0.1201113,0.10012818,0.12348436,2024-07-03
0.2004968,0.008668458,0.006568397,0.19860475,0.051231273,0.19012351,0.12061627,0.10073919,0.12295131,2024-07-05
0.19978318,0.009135688,0.0065099155,0.19793075,0.051693037,0.1893901,0.12115093,0.101678096,0.12272839,2024-07-08
0.20018692,0.012736213,0.011450818,0.19775242,0.047058262,0.19019434,0.118859686,0.10133396,0.12042732,2024-07-09
0.2005211,0.007890121,0.0058882856,0.19867025,0.051929295,0.18998669,0.12078673,0.101082355,0.123245224,2024-07-10
0.19977978,0.0016563582,0.0022753777,0.19861764,0.05750682,0.18937798,0.122748114,0.099335894,0.12870201,2024-07-11
0.20378734,-0.0008143548,0.0017757231,0.20244752,0.05656112,0.19244947,0.12018261,0.094357446,0.12925307,2024-07-12
0.20140862,-0.00070464844,0.00045124936,0.2004674,0.05848112,0.19034518,0.12218114,0.09678557,0.13058437,2024-07-15
0.20272891,-0.0066024377,-0.002493782,0.2022542,0.062025417,0.19176677,0.121426955,0.09179205,0.13710192,2024-07-16
0.20092607,0.0037306377,0.0039786864,0.19948329,0.0552577,0.19029397,0.121483125,0.09828112,0.12656544,2024-07-17
0.20259424,-0.007321331,-0.0051736278,0.20274623,0.06734039,0.1900305,0.12317693,0.09078468,0.13582197,2024-07-18
0.20418423,-0.0059034973,-0.0036303997,0.20380479,0.06292205,0.19212696,0.12093346,0.090824485,0.13473794,2024-07-19
0.20542073,-0.0050658514,-0.0017877646,0.20475699,0.06038,0.19341567,0.119377285,0.0896654,0.13383752,2024-07-22
0.20290624,-0.0038324425,-0.0028914674,0.20236789,0.061763953,0.1912486,0.12209245,0.09356813,0.13277672,2024-07-23
0.20242009,0.004862232,0.007281521,0.2006991,0.052595127,0.1918588,0.119270444,0.09522379,0.12578897,2024-07-24
0.20405206,-0.008711436,-0.006539387,0.20432952,0.06799971,0.19114691,0.123123065,0.08869928,0.1359003,2024-07-25
0.20161329,-0.01048956,-0.008723426,0.20253117,0.07332233,0.18830618,0.1264155,0.088923216,0.13810135,2024-07-26
0.20084882,-0.008232451,-0.007762544,0.20142187,0.07085635,0.18820167,0.12692846,0.09201267,0.1357251,2024-07-29
0.20150866,-0.002943132,-0.0050912215,0.20138045,0.064797275,0.18873674,0.12576641,0.095869586,0.1299752,2024-07-30
0.20263647,-0.011112669,-0.008424586,0.20358992,0.07263456,0.1892112,0.1252822,0.087415546,0.13876736,2024-07-31
0.20037094,0.0029120746,0.0040645697,0.19922107,0.057153303,0.1899865,0.121871,0.09575208,0.1286684,2024-08-01
0.20320813,-0.010749027,-0.009010378,0.20393507,0.07100083,0.18998985,0.12510091,0.08853946,0.13798513,2024-08-02
0.2030144,-0.008211057,-0.006205897,0.2032884,0.068619356,0.19029908,0.12453025,0.08930088,0.1353646,2024-08-05
0.20593192,-0.009620792,-0.00798374,0.2063062,0.06850269,0.19241092,0.12173961,0.08587694,0.13683625,2024-08-06
0.20516413,-0.0038517741,-0.0033315911,0.20506279,0.06365803,0.19194648,0.12083673,0.08774601,0.13276918,2024-08-07
